Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,46.8383203125,215.905296875,335.1395,525.334375,797.4543125,968.210625,1296.015,1418.889,1424.683,1488.549,1447.868,1318.202,1327.767,1442.508,1447.101,1479.924
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,804.4058125,1738.569,2309.471,3025.361,3842.483,4526.783,5312.54,5126.544,5267.523,5489.452,5168.865,4669.851,4674.619,4770.142,5009.286,4844.018
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,46.83637890625,235.608296875,349.6318125,573.725,957.0498125,1219.351,1453.738,1605.254,1559.054,1492.136,1461.162,1508.274,1598.557,1828.249,1978.457,2000.225
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,804.838,1731.97,2305.316,3088.793,4080.618,4764.7,5530.399,5377.461,5615.64,5855.027,5728.852,5981.742,6122.202,6296.097,6155.455,5730.394
IMAGE 3.2,SSP2_SPA2_19I_D,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,44.55433984375,158.71109375,271.0131875,309.47290625,351.1556875,398.1668125,382.0203125,352.5773125,392.1818125,446.99309375,588.137875,681.7051250000001,754.4491875,832.1398125000001,887.634125,861.201375
IMAGE 3.2,SSP2_SPA2_19I_D,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,781.601,1322.567,1852.832,1897.324,1949.685,2111.932,2067.579,2028.88,2188.905,2476.27,2939.644,3186.28,3394.342,3769.889,4246.735,4339.596
IMAGE 3.2,SSP2_SPA2_19I_LI,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,43.518609375,68.2377265625,249.60259375,341.25759375,363.4561875,407.6325,448.5248125,417.3603125,385.50609375,432.31009375,512.9613125,530.0463125,519.1956875,559.9741875,621.721625,640.2068125000001
IMAGE 3.2,SSP2_SPA2_19I_LI,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,781.068875,931.474625,1816.751,2081.562,2014.263,2162.731,2408.958,2339.994,2282.248,2435.734,2662.17,2682.087,2545.428,2841.051,3417.8,3644.841
IMAGE 3.2,SSP2_SPA2_19I_LIRE,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,46.37766015625,240.1165,451.7011875,578.919125,763.5385,859.293375,1022.166,1286.318,1309.241,1384.912,1506.223,1465.791,1411.497,1647.338,1865.741,1981.03
IMAGE 3.2,SSP2_SPA2_19I_LIRE,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,797.6505,1814.72,2933.792,3364.199,3845.038,4189.376,4336.714,4448.111,4712.252,5377.034000000001,5842.284000000001,5832.293000000001,6179.607,6057.794,6075.308,6338.289
