model,scenario,final_demand_reduction,electrification,transition_speed_score
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1.0,0.4372396744723586,1.4372396744723586
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.6132676950431989,0.27418757710807845,0.8874552721512774
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.29385110553599336,0.24300990649437276,0.5368610120303661
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.3068704536902486,0.19749632254841237,0.504366776238661
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.24220867995568768,0.19745319103701045,0.43966187099269816
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.32585289900626474,0.2769446709376319,0.6027975699438967
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.6740580763431988,0.7568198124453811,1.4308778887885798
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.15608777002457794,0.20884381983195507,0.364931589856533
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.14897119882434232,0.20656744632561783,0.35553864514996014
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.3578013061725171,0.42471597216881496,0.7825172783413321
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.3340994295436224,0.4396600573258046,0.773759486869427
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.15595602999500688,0.24768223377514753,0.40363826377015444
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.16035176968747344,0.25226731350376586,0.4126190831912393
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.1851999701308582,0.3260623601950418,0.5112623303259001
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.46925454462107025,0.5018957878251015,0.9711503324461717
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.6148732392760702,0.7778720761124572,1.3927453153885274
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.3668125288699402,1.0,1.3668125288699402
WITCH 5.0,ENGAGE-INDCi2030-1000,0.3469348994518465,0.49918921519520876,0.8461241146470553
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.1429149674734298,0.46020594478652904,0.6031209122599588
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.28216050367079515,0.45552687446053464,0.7376873781313298
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.0686694626513607,0.4270722806898795,0.4957417433412402
WITCH 5.0,ENGAGE-INDCi2030-1200,0.2342587524985878,0.40512797294665925,0.639386725445247
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.046884024665462626,0.38512869672628436,0.43201272139174696
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.19315393926703817,0.3928439838145842,0.5859979230816224
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.046884024665462626,0.36806734777378586,0.4149513724392485
WITCH 5.0,ENGAGE-INDCi2030-1400,0.13364532388552489,0.3091184587123447,0.44276378259786964
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.046884024665462626,0.3019704385718995,0.34885446323736213
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.12694257894348399,0.3110047143446175,0.4379472932881015
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.046884024665462626,0.29740240286735675,0.34428642753281935
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.046884024665462626,0.23858554925607986,0.2854695739215425
WITCH 5.0,ENGAGE-INDCi2030-500f,0.5657827541211845,0.6992711771187136,1.265053931239898
WITCH 5.0,ENGAGE-INDCi2030-600f,0.49974225754788115,0.6372341048419261,1.1369763623898073
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.2767440683224866,0.5966902199720441,0.8734342882945307
WITCH 5.0,ENGAGE-INDCi2030-700f,0.43512397441494066,0.5931320168297487,1.0282559912446894
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.21191841211194518,0.5356933515004966,0.7476117636124417
WITCH 5.0,ENGAGE-INDCi2030-800,0.524952555055418,0.6550416951567882,1.1799942502122063
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.31456439487478083,0.6090689901041072,0.923633384978888
WITCH 5.0,ENGAGE-INDCi2030-800f,0.37338650981002525,0.5304976878243753,0.9038841976344005
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.1595187924989761,0.49367410167906617,0.6531928941780423
WITCH 5.0,ENGAGE-INDCi2030-900,0.4292693980193306,0.5683078832485564,0.997577281267887
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.2104146378096909,0.5233424720763157,0.7337571098860066
WITCH 5.0,ENGAGE-INDCi2030-900f,0.3245393776229728,0.48064665596978384,0.8051860335927566
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.11308097443864507,0.44767109218746565,0.5607520666261108
