model,scenario,carbon_budget_share,region
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.8368776846110616,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.8168448254049834,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.8123446013990671,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.8410673935390507,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.8396029566236445,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.6662431087303871,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.7708752092580395,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.7436921900208533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.7436921900208533,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.7996565375653482,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.8087056877293506,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.800099645863248,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.8087901944113055,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.8087901944113055,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.8092026025453153,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.692038772571983,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.6946123234614966,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.7119156763377439,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.6964937803649236,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.6359205119163149,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.6183680878694914,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.6153141671726834,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.6998478853107878,R10INDIA+
