model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.0,0.1591575500408961,0.06845116549390602,0.2276087155348021,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.06096961396438378,0.30837868116995015,0.06845116549390555,0.4377994606282395,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.024331721394653432,0.14922555943424798,0.14265341000339574,0.31621069083229714,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.049051197403591235,0.17222818916812974,0.1431608991971408,0.3644402857688618,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.07947658234124336,0.37530310451320725,0.1431608991971408,0.5979405860515914,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.013914474530468865,0.21745875857972416,0.06850402898894256,0.29987726209913557,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.06175319493364204,0.3967670405275207,0.06845116549390555,0.5269714009550683,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.0519957481426297,0.2290693864179754,0.0,0.2810651345606051,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.07854362681573279,0.3662846674272713,0.1300425015228325,0.5748707957658366,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.05348396240049443,0.3185106302624713,0.0,0.3719945926629657,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.08924139240063687,0.15317523272415967,0.0,0.24241662512479656,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.09765663274015432,0.2005516972281038,0.1300425015228325,0.42825083149109056,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.07295137641439106,0.1607327241131228,0.1300425015228325,0.36372660205034635,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.10397213722057862,0.20815039585163722,0.0,0.3121225330722158,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.044410478239970075,0.36971706001443283,0.2508626029032798,0.6649901411576826,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.04224912940183928,0.30174267833046303,0.2492034838791485,0.5931952916114508,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.041838368511166575,0.21497024340398482,0.25364353477497514,0.5104521466901266,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.024825493423654643,0.34375199443338145,0.2508626029032798,0.6194400907603159,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.025913134931488332,0.2390570545595907,0.2492034838791485,0.5141736733702276,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.040641208422504085,0.20584171240842622,0.2492038938059942,0.49568681463692454,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.03385294748737062,0.21796613077774413,0.28768528697848683,0.5395043652436016,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.016231187443727518,0.2498981340871484,0.2797844802612976,0.5459138017921735,R10LATIN_AM
