model,scenario,carbon_budget_share
WITCH 5.0,ENGAGE-INDCi2030-1200,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-1200f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-1400,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-1400f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-500f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-600f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-700f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-800,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-800f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-900,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1.1767328283696803
WITCH 5.0,ENGAGE-INDCi2030-900f,1.2054736472206573
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1.1767328283696803
