model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.21942030331696413,0.2510795136188547,0.6672872691702557,1.1377870861060746,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.2273001007292854,0.259759657723298,0.6672872691702557,1.1543470276228391,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.2261340651121085,0.22781782618165192,0.6672872691702557,1.1212391604640162,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.22913382932032042,0.2349423333925751,0.6672872691702557,1.1313634318831514,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.19752333487267046,0.47361094391008846,0.6672872691702557,1.3384215479530146,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.20089861082567023,0.45940030393901987,0.6672872691702557,1.3275861839349457,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.20512076698029302,0.46023309383982974,0.6672872691702557,1.3326411299903786,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.20724129239349584,0.4531170740356613,0.6672872691702557,1.3276456355994128,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.20551201230570776,0.440821572434429,0.6672872691702557,1.3136208539103924,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.20545135875372572,0.44265894033994013,0.6672872691702557,1.3153975682639216,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.21380825079840823,0.4254506610510478,0.6672872691702557,1.3065461810197116,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.21080233682470484,0.43340555674322284,0.6672872691702557,1.3114951627381832,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.21311726470855474,0.40693892359648315,0.6672872691702557,1.2873434574752936,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.2172000855704965,0.23637956506564095,0.6672872691702557,1.1208669198063932,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.21601259326859962,0.3517018880309919,0.6672872691702557,1.2350017504698472,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.2260628491330936,0.24387491956404245,0.6672872691702557,1.1372250378673918,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.22365755452884586,0.2297564639788823,0.6672872691702557,1.1207012876779838,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.2324804026215064,0.225784315374247,0.6672872691702557,1.1255519871660091,R10LATIN_AM
