model,scenario,final_energy_demand,energy_per_gdp,region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,2384.388970375061,0.0023962480229011724,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,2415.2236709594727,0.002427236083670688,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,2406.2553691864014,0.002418223176943007,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,2482.157947540283,0.002494503266128699,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,2276.279227256775,0.0024762474038498017,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,2530.625256538391,0.00254321163326386,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,2454.8285751342773,0.0024670379677194714,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,2282.35005,0.0022846734692466113,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,3352.3121879000005,0.0031745176976915126,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,3404.36755505,0.0032220648180863506,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,3312.02951045,0.003144831031537315,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,3333.5613584000002,0.00316473762093602,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,3259.5756872000006,0.003092939216433613,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,3258.0532807500003,0.003091553239412514,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,3594.4590022499997,0.0027568754366642917,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,3603.8162444,0.002766406348213046,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1865.5769504,0.001427181484426393,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,3202.0457152000004,0.0024895144204039234,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,2481.9886606163905,0.001693411310027618,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,2624.386553234069,0.0017945107990452193,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,2505.8364106014437,0.0017343373202182407,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,2597.1558160108784,0.0017984636645528137,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,2581.5940862334924,0.0017723517878518928,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,2658.9224816176875,0.0018272226158803449,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,2549.778927862591,0.0017585439115760846,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,2659.8014283847997,0.0018361167982990374,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,2656.5367922106984,0.0018253434907936886,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,2766.242500281224,0.0018986824941996001,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,2613.778840896683,0.0017967861423804892,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,2704.2512230089087,0.001859856893048626,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,2820.573520593127,0.001932040956026666,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,2371.69559706085,0.0016653308936732422,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,2394.4565818612705,0.0016741061495538468,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,2475.795003331803,0.0017307866444579677,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,2423.442130668982,0.0016881942183048565,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,2507.532409162667,0.0017466437659887238,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,2410.9935124676963,0.0016674645599808495,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,2510.8530302939203,0.0017326580694015427,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,2450.366308521057,0.0017018784804621898,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,2538.5051794197802,0.0017640892325618684,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,2480.668219630966,0.0017174769346589246,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,2556.8892450175927,0.0017555947022667863,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,2470.767507015339,0.0017127967555892682,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,2577.17763078952,0.0017873737210068242,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,5142.577970703124,0.002139059272146765,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,4996.1309296875,0.002078144512516957,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,5281.8587241210935,0.002196993208924696,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,5240.479708496094,0.0021797815754698007,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,5458.518064453126,0.00227047479775064,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,4902.590602539063,0.002039236341314421,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,5225.772179199219,0.002173663967318388,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,5341.82432421875,0.0022219359465223527,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,5498.127500488282,0.002286950373210689,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,5470.694603027344,0.00227553963835942,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,3668.5017792968747,0.0016880803867926778,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,3787.019210937501,0.002202832708228544,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,3703.3099062499996,0.0017040975294698776,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,3985.94022265625,0.0018341513559477385,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,3662.46422265625,0.0016853021733523282,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,4094.1891601562497,0.0023815072734828494,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,3995.870597656251,0.0018387208702289094,R10INDIA+
