,scenario,model,mean_value,mean_value_2050,region
50,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,1.331552210536902,1.4615725569611906,R10LATIN_AM
51,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,1.1541842689628155,1.2091714185458402,R10LATIN_AM
52,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,1.185644320870709,1.2584722982399112,R10LATIN_AM
53,CO_Bridge,REMIND-MAgPIE 1.7-3.0,1.1182968366448482,1.164259981569123,R10LATIN_AM
54,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,1.3018637135589761,1.380868010093863,R10LATIN_AM
55,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,1.2807569649282926,1.379121303612925,R10LATIN_AM
56,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,1.2330596456694876,1.35937969524878,R10LATIN_AM
57,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,1.216131326965231,1.3497696153683798,R10LATIN_AM
58,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,1.554987031937048,1.5906169490478799,R10LATIN_AM
59,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,1.185644320870709,1.2584722982399112,R10LATIN_AM
60,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,1.1541842689628155,1.2091714185458402,R10LATIN_AM
61,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,1.1204427681081637,1.2093528547632308,R10LATIN_AM
62,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,1.1094013238438007,1.204393646258583,R10LATIN_AM
63,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,1.3830316454265972,1.3839117243570076,R10LATIN_AM
64,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,1.2581961308010048,1.3692551247434879,R10LATIN_AM
65,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,1.2690135745661542,1.3654473910026517,R10LATIN_AM
66,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,1.236969360231882,1.357964101785186,R10LATIN_AM
