model,scenario,final_energy_demand
WITCH 5.0,ENGAGE-INDCi2030-1200f,36869.76252308649
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,36868.88005340747
WITCH 5.0,ENGAGE-INDCi2030-1400,37278.52972231031
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,37408.66374381888
WITCH 5.0,ENGAGE-INDCi2030-1400f,37142.69500692112
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,37237.17204377525
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,38212.10075304834
WITCH 5.0,ENGAGE-INDCi2030-500f,34080.416694030144
WITCH 5.0,ENGAGE-INDCi2030-600f,34723.758247389924
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,34997.08733885238
WITCH 5.0,ENGAGE-INDCi2030-700f,35325.92286915691
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,35591.62755524319
WITCH 5.0,ENGAGE-INDCi2030-800,35464.10812263835
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,35656.7599232702
WITCH 5.0,ENGAGE-INDCi2030-800f,35941.60226482081
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,36056.93658825117
WITCH 5.0,ENGAGE-INDCi2030-900,36199.223250443385
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,35872.66219030902
WITCH 5.0,ENGAGE-INDCi2030-900f,36243.91384105243
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,36353.15435777993
