model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.012961401203434725,0.9309123156220226,0.029508017658664936,0.841233941080037,1.8146156755641591,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.0044645526911704795,0.9952869983464063,0.0939487104713179,0.8397491349294562,1.9334493964383508,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.007536134321456808,0.9801623050997424,0.06162696939727366,0.8334266581292379,1.8827520669477107,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0016002977379766027,0.991804098008705,0.11351741616472848,0.8397957266907756,1.9467175386021855,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,0.9974701116666118,0.11889697385651758,0.8397957266907756,1.956162812213905,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.010469911893677823,0.934633650365457,0.016957755024546006,0.8452742942474045,1.8073356115310852,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.023423107058444123,0.946190232559335,0.0,0.7622509888674216,1.7318643284852007,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.010225919069873367,0.9703039192171653,0.016398793251875415,0.7795498278223653,1.7764784593612795,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.005464979990331904,0.9788064684769033,0.027937975514479452,0.7977784536602572,1.809987877641972,R10LATIN_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.00544646864651667,0.974478871061238,0.005701907081539359,0.7699002270679497,1.755527473857244,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.29735331709910784,0.7986897155303293,0.04532044484319938,0.40080550175560664,1.5421689792282431,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1.0,0.8474334501625117,0.005159397440188198,0.12455191996871871,1.9771447675714187,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.3558175252243717,0.7057793834333053,0.18415446864086085,0.3036341155037408,1.5493854928022786,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.24439816177037677,0.8272165208912374,0.12748568657455012,0.4346192557273525,1.6337196249635169,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.8113901699266776,0.8438191832312844,0.2240494030688335,0.1722833597955802,2.0515421160223757,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.8936652152738618,0.8948275327238345,0.23384581201226975,0.2026410447941305,2.224979604804097,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.2603922854617335,0.6972253556727962,0.3416224688769933,0.34947792796166927,1.6487180379731923,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.4498276265625086,0.9901600942524759,0.1477907238707157,0.49005929002912074,2.077837734714821,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.3172548409927371,0.7197038366334494,0.005416046730161401,0.42563942980289854,1.4680141541592464,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.2547051136667584,0.9922967922607291,0.03617419537036079,0.5730187352998072,1.8561948365976553,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.677769237619516,1.0,0.2578803409603453,0.3819519613476519,2.317601539927513,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.6609966198625616,0.908367547160228,0.35680720489045614,0.3686255664722003,2.294796938385446,R10LATIN_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.26442893463561573,0.878690343259876,0.15314678587199612,0.5267784627034047,1.8230445264708925,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.24638612736062968,0.3235257208240669,0.4487723052445019,0.7669083813541072,1.7855925347833057,R10LATIN_AM
