model,scenario,carbon_budget_fairness
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,4.163921789025037
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,4.080204487760038
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,3.825754833114644
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,3.9107205027073357
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,3.892054864322113
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,3.9183883297324456
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,3.1628655348789776
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,3.956959326430491
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,3.606088097986773
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,3.9833123648653075
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,3.858223714287073
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,3.7383741280606495
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,4.03501731480845
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,3.9442313753467477
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,3.3408221544208176
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,3.453336218250362
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,3.6172349545830538
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,3.191292123046963
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,3.7528915173711326
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,3.3809887018490565
WITCH 5.0,EN_INDCi2030_500f,5.403315833816
WITCH 5.0,EN_NPi2020_400f,3.677170563294603
WITCH 5.0,EN_NPi2020_450,3.286241608359093
WITCH 5.0,EN_NPi2020_450f,3.7467665009772952
WITCH 5.0,EN_NPi2020_500,3.4520524604347265
WITCH 5.0,EN_NPi2020_500f,3.8062030463289016
