model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.0854867913671774,0.5085691700292414,0.0,0.04389487817356405,0.7998981354646222,0.6854073472405063,0.03545359099905051
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1339767220974563,0.0017485888292254129,0.6974264518299764,0.057346591534849875,0.33426274541082995,0.49787711420876934,0.20647785896356893
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0396606654121095,0.4990249670036118,0.0,0.0,0.8655425908515165,0.6067494039831924,0.17771866684303983
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.2796204394246859,0.5002524275198938,0.0,0.026422354469022757,0.9634807903803196,0.8206422725380337,0.24808816235637154
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3368874645230711,0.4971740894966758,0.0,0.057515079516490195,0.5288815027298099,0.6404182401219973,0.39386713930618716
IMAGE 3.2,SSP1_SPA1_19I_RE,0.2152721201900839,0.5037745956066987,0.0,0.06778439021180223,0.6862394850567529,0.6632807394486904,0.07808733348009116
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.311840210945197,0.0,0.894894147846657,0.09208148352811385,0.30204791040021584,0.5214653333173701,0.2532887293692042
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.1627449664288211,0.5149847102882783,0.0,0.3862421305781242,0.49032701648807575,0.7100173644554975,0.1527598909713077
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3333513029960385,0.5862881791290702,0.0,0.3561911818564001,0.4467365458613808,0.6312584325522533,0.35754286452508505
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.4169282108910608,0.5129302461190379,0.0,0.4025747087338502,0.38219306634117467,0.7419546879536966,0.13601802102780047
IMAGE 3.2,SSP2_SPA2_19I_D,0.1874027034457225,0.5262650843271183,0.0,0.4013739320170472,0.8631852120426386,0.8165127683245506,0.16438220530764316
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1198164053156987,0.5924521529374394,0.0,0.341020045441926,0.8685569028775204,0.8120697763777893,0.37803762032745125
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.4411412530098449,0.598147794410177,0.0,0.40450104899239353,0.7771200658526457,0.7735097635703102,0.33633727456705126
IMAGE 3.2,SSP2_SPA2_19I_RE,0.451256916231042,0.5232761830421356,0.0,0.4113479197479143,0.7512740457255443,0.770368567734104,0.211218910577558
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.0990178540974925,0.8928151603060207,0.0,0.6367465884943618,0.548793751713838,0.724591827382704,0.5858454462671621
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.0992715821112738,0.8895535906115974,0.0,0.6413866473391875,0.5176574181683724,0.6635852547673753,0.5358163952700279
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.0643827756252519,0.8907774744466396,0.0,0.66877085136014,0.6136207442334405,0.6274168879836239,0.5526107283236361
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.0996630816258115,0.8779598640758551,0.0,0.6482610236053645,0.5455178532926416,0.7091965448043747,0.48395551055208497
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.096930667501522,0.8760674439113583,0.0,0.6525453572709754,0.5146876872164158,0.6490016498003877,0.4329825968139129
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.0640387964304785,0.8910756616001605,0.0,0.6696559429536525,0.5947113584530149,0.5546278777267033,0.5085179052341287
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.1134150087423748,0.889841908345472,0.5178393495618342,0.7210267178523875,0.10195760334070238,0.208533400749686,0.47819663367596404
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1044204923258104,0.8808801191748385,0.32883829276229304,0.7125422244818352,0.14521882122413496,0.2808961579244768,0.42224690832811534
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0956249542738684,0.8676938943127072,0.31796918255175993,0.7039318922685249,0.1935360436500237,0.32022842638651045,0.36241529717772236
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.128414245458633,0.7140160613441633,0.6283042136982132,0.7006006778044614,0.0,0.0,0.7780207693176386
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0906162013494965,0.8674258781687121,0.3102636699971539,0.6988382598578702,0.21678999983915295,0.34578706545064014,0.33388156543210484
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.113134513657389,0.7183717452747416,0.6150277802186982,0.7085174332280622,0.015268528510864299,0.06587345515183135,0.6608674549228042
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0834589971796869,0.8554912003538399,0.2989712033606394,0.6937720724340909,0.2453916759280526,0.36605665021959344,0.31080137030565913
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.0939468948680749,0.7187143071669025,0.535675379758831,0.7065059073096762,0.08498525838220428,0.17848720164741308,0.48948961899508187
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.1108582196328491,0.7026723462488695,0.0,0.6765045952824861,0.08445887498149078,0.3433205731217767,0.49666729150854855
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.0672259862027446,0.7642643161605184,0.32118638477374595,0.8162302056113417,0.1567022395031411,0.2641858251548918,0.5011223271344507
