model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.25243782257720665,0.870555072318625,0.329179635806339,0.5184920720109786,1.9706646027131491,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.2197491463557319,0.586132718171672,0.3105055602785492,0.42619671063881903,1.5425841354447722,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.8388425252268162,0.8512817765201348,0.3349300793325311,0.36509389811252263,2.390148279192005,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.0,0.9282539949596387,0.2931200726788717,0.3739621936847139,2.595336261323224,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.9287491366468461,0.59616159083092,0.2540409519685958,0.2766168224240364,2.055568501870398,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.31463925580248253,0.7605752748191239,0.45383510594720566,0.4676541116814334,1.9967037482502454,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.228838022547781,0.4341202411307916,0.46621024090277047,0.42773235255379266,1.5569008571351357,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.17046221151708746,0.9234323066062536,0.0,0.4702561510642709,1.5641506691876121,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.6978590456913868,0.6589702281556418,0.190261867267068,0.3548189733551462,1.901910114469243,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.1558319338730804,0.6060429135978344,0.2316686638256644,0.46767358850568214,1.4612170998022613,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.2498273199218033,1.0,0.1917406355224591,0.5502889888344209,1.9918569442786833,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.7019146578911978,0.9857079039487859,0.37223545123308366,0.49400744537256736,2.553865458445635,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.7346228659966829,0.8294769702959278,0.38875902475394486,0.4965183530288088,2.4493772140753647,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.2736115175479571,0.7770579254423522,0.29335051142167984,0.5314846441826118,1.8755045985946008,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.07649636010169754,0.4915461872093959,0.6910857046541584,0.8577971547846992,2.116925406749951,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.07108911441242224,0.6034821585854766,0.6545545713738165,0.9310254128927877,2.2601512572645035,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.06192314655124788,0.4923830839922812,0.6712372952120321,0.922435429687651,2.1479789554432123,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.07224800204500313,0.4874333711211305,0.7165991651236018,0.8577971547846992,2.1340776930744343,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.06696559921061362,0.6019799706969068,0.6660478026236154,0.9310254128927877,2.2660187854239235,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.050124907253316836,0.502950626505936,0.6718499352430284,1.0,2.2249254690022813,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.11329685287812477,0.12842862306455305,0.7663999172282392,0.3810328026726712,1.3891581958435884,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.10993845451760757,0.20718257742652574,0.770486939727487,0.4063217191512434,1.4939296908228639,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.10981313054526443,0.3543606219447655,0.7338834891797258,0.43256958164099896,1.6306268233107546,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.1487501580233771,0.302663395015106,0.9382327190509062,0.2093547359139052,1.5990010080032944,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.10929442051580421,0.4190596410806485,0.7219938937053668,0.43743922287828874,1.6877871781801081,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.1371790143107172,0.21679410766916699,0.8695934834360248,0.2564388736547018,1.480005479070611,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1080240896676293,0.47882094843928075,0.7108144700768225,0.45827406563176615,1.7559335738154986,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.11286945774483637,0.11687977319931017,0.7611607693731701,0.3736029623285145,1.3645129626458312,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.14689695532797606,0.20250687431548695,0.8156479303665225,0.31714242659742203,1.4821941866074075,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.133972903790205,0.3424304736835379,0.8492596105236587,0.3672604055835376,1.6929233935809394,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.10966935976177324,0.16170491184738425,0.663270954155491,0.3533966536189037,1.2880418793835522,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.11090356811745537,0.15908791108801337,0.6746199129170339,0.3635846768765202,1.3081960689990226,R10LATIN_AM
