model,scenario,shannon_index
WITCH 5.0,ENGAGE-INDCi2030-1200,1.585628304979451
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1.5842247420140396
WITCH 5.0,ENGAGE-INDCi2030-1200f,1.5899757129851055
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1.5887168369131575
WITCH 5.0,ENGAGE-INDCi2030-1400,1.5876627196909465
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1.586126558340988
WITCH 5.0,ENGAGE-INDCi2030-1400f,1.5909447242191581
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1.5892662606754273
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1.5842755043802574
WITCH 5.0,ENGAGE-INDCi2030-500f,1.5549837321400921
WITCH 5.0,ENGAGE-INDCi2030-600f,1.5653696705538334
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1.565529631783778
WITCH 5.0,ENGAGE-INDCi2030-700f,1.5736287475193689
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1.5733211248209438
WITCH 5.0,ENGAGE-INDCi2030-800,1.580982692780688
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1.5784051801898085
WITCH 5.0,ENGAGE-INDCi2030-800f,1.5795339026651907
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1.5788418261523807
WITCH 5.0,ENGAGE-INDCi2030-900,1.5823182645757197
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1.5836048494770365
WITCH 5.0,ENGAGE-INDCi2030-900f,1.5836290926140797
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1.5823895331819648
