,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
45,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,19251.066283015003,0.0671065092472367,9.571764710423171,R10LATIN_AM
46,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,16712.395458015002,0.05788487759093154,8.30951983230153,R10LATIN_AM
47,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,24446.901600000005,0.0933221906436062,12.125784878276413,R10LATIN_AM
48,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,44029.757900000004,0.1685854231037052,21.838979076922836,R10LATIN_AM
49,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,33645.6371,0.12833040189196218,16.688403473066533,R10LATIN_AM
50,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,57835.241100000014,0.22146261141850596,28.686567461041793,R10LATIN_AM
51,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,29470.823800000002,0.1122566554429668,14.617675296095133,R10LATIN_AM
52,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,23222.0531,0.08843913632403082,11.518253925581794,R10LATIN_AM
53,REMIND-MAgPIE 1.7-3.0,CO_Bridge,23288.4929,0.08900723326233806,11.551208397086507,R10LATIN_AM
54,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,45934.0053,0.17555348438767088,22.78349526573169,R10LATIN_AM
55,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,51894.293900000004,0.19856641135667016,25.739828078722738,R10LATIN_AM
56,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,38945.131700000005,0.14951290359888558,19.3169791729494,R10LATIN_AM
57,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,34764.354900000006,0.13390462666299058,17.243293070294623,R10LATIN_AM
58,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,76834.71830000001,0.2990614724930104,38.1104027223134,R10LATIN_AM
59,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,23222.0531,0.08843913632403082,11.518253925581794,R10LATIN_AM
60,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,29470.823800000002,0.1122566554429668,14.617675296095133,R10LATIN_AM
61,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,20309.477000000003,0.07765453399958629,10.073601682607606,R10LATIN_AM
62,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,19812.089300000003,0.07597358979260294,9.82689490765578,R10LATIN_AM
63,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,36685.7711,0.14064288874361677,18.196325069361336,R10LATIN_AM
64,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,46853.05010000002,0.1797635719095655,23.239346061085605,R10LATIN_AM
65,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,33433.2511,0.12867735927810278,16.583058959913277,R10LATIN_AM
66,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,30487.1019,0.1176285673928385,15.121754292228674,R10LATIN_AM
67,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,5558.074,0.018532321132591664,2.768655235032437,R10LATIN_AM
68,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,2261.0344000000005,0.0076154083224095155,1.1262938795252504,R10LATIN_AM
69,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,7714.518900000001,0.028584276391834883,3.8428497242465074,R10LATIN_AM
70,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,1694.6506000000004,0.0063835661341775304,0.8441599113723318,R10LATIN_AM
71,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,31314.124399999997,0.1151894721234128,15.598571456680313,R10LATIN_AM
72,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,29155.24319999999,0.1071182913001584,14.523163368160237,R10LATIN_AM
73,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,27505.9655,0.10098328994848074,13.70160515606604,R10LATIN_AM
74,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,8405.1243,0.04185130251753093,4.186862462481311,R10LATIN_AM
75,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,8666.900300000001,0.042990738206812776,4.317261498695268,R10LATIN_AM
76,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,25349.4673,0.09316399226132087,12.627384116409495,R10LATIN_AM
77,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,3873.5452999999998,0.01811055877262,1.9295373672571277,R10LATIN_AM
78,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,3826.5279,0.017879261962175274,1.9061164896927747,R10LATIN_AM
79,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,24280.513300000006,0.08921664701009134,12.094903784533948,R10LATIN_AM
80,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,9628.2575,0.035593642818757744,4.796144407507947,R10LATIN_AM
81,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,8354.179100000001,0.030847526413889215,4.1614850215404795,R10LATIN_AM
82,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,13655.965100000003,0.051699271313528375,6.802474969483183,R10LATIN_AM
83,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,7936.2192000000005,0.02928312445802995,3.953285766696331,R10LATIN_AM
84,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,10541.140400000002,0.03939896701201472,5.250880710057463,R10LATIN_AM
85,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,7037.385900000001,0.025947842356371976,3.5055480213071046,R10LATIN_AM
