model,scenario,investment_score,investment_score_2050,Region
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.36585167749991726,0.2842806743300068,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.3419006044752504,0.25784523728729997,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.40718327574973345,0.31862421081599224,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.39967699272256935,0.3181340949708392,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.3827141916650383,0.3125947126111446,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.37669390149190074,0.3098981791786696,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.4972026009317605,0.3774785630539169,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.36585167749991726,0.2842806743300068,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.3546634050756828,0.27044712955202577,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.3426637712330676,0.270498039516578,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.3387370553220968,0.2691065139831981,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.4360493735077857,0.31947825962428666,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.3916535870691689,0.31536570162725475,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.3955006407273341,0.3142972733246899,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.3841046201281932,0.31219750518426775,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.1641416731913453,0.205579470628637,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.17760082893744114,0.23166248299047362,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.3325746218902891,0.30249926504513186,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.3669708847551596,0.32586691066452433,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.5035014137810636,0.27621053666296475,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.463274981008059,0.26454621209534646,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.44618510968847414,0.2566474677354325,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.3689243337183394,0.37070816266011636,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.37772532427503014,0.3862011188080268,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.41758215990835307,0.25306423577051523,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.37660303541846846,0.29127701816960133,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.37296502189558856,0.28764117682942564,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.4163311708027649,0.25218017108482643,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.4977533591179272,0.3209618435264284,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.47624012416331135,0.30984183646674335,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.38424315143764703,0.40664104025922876,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.45353937052140375,0.30940956756031496,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.3539772409930077,0.3526930601818562,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.4351346958889952,0.3064655068201376,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.336353288318843,0.32100785122481335,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.33751169871407827,0.31998663918257064,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.40154590913548766,0.29443049005053734,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.3571106656261067,0.3057095669245339,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.11984231945264631,0.15348581892962468,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.18941963164815068,0.24708396754504475,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.36296327881850277,0.3551603050567583,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.23164207530702324,0.2480339313203604,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.2116593710602353,0.21385683762587188,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.253492460173545,0.2824651336088913,R10LATIN_AM
WITCH 5.0,EN_INDCi2030_500f,0.12545288032574414,0.13065515586886123,R10LATIN_AM
WITCH 5.0,EN_NPi2020_400f,0.12804563060317298,0.11007027547073,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450,0.11006853843337516,0.08290613806335548,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450f,0.131362925187403,0.11501296165122488,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500,0.11646956559284649,0.08876265983005356,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500f,0.13575933226361098,0.12203145495575185,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D,0.1871599194360491,0.2752797918708061,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.21249567248408288,0.32344608298447913,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LI,0.16146526682329312,0.2416292482088534,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.20134977999793768,0.24467537444561885,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.2417763869434093,0.32623115393713353,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE,0.22390339205396984,0.33021763511480595,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.248704125869367,0.3659434594916736,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2065431284668946,0.24947825715315924,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.23390585341791081,0.3101333936138571,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.2573293911934383,0.3244467917738629,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_D,0.21379931188207746,0.24621969586379022,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1851440419148441,0.2307741121502191,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.25027968018048113,0.2993845358241145,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_RE,0.265990714530796,0.33971706192214907,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.16019886075684328,0.17252448868764877,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.16199537346266799,0.17552929705668951,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.14889228805584145,0.1605217484290477,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.1612530775668713,0.1674057446760908,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.15995414042799297,0.16504731958846897,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.15000006080445755,0.16220689216724785,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.19278099515475175,0.22745945391088007,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1889842368260759,0.21743360744279816,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.16945743137699232,0.1872930786489763,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.1975853586682837,0.2620066165560571,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.16695062699544863,0.18375133574331995,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.18644636753530633,0.24653255086460682,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1612699794229996,0.17523007027731624,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.17614538177546119,0.22539044900599128,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.18445994713031602,0.22816478254019948,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.1666129335128393,0.21672258915167478,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.20339858445370418,0.2551043235052364,R10INDIA+
