model,scenario,flexibility_score,region
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,36.430149899215444,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,36.42930774439084,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,35.97629575224876,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,35.97919762154503,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,35.99553732548896,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,36.353357326628355,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,36.106844346891414,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,35.1413088322736,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,37.0900850722253,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,36.908498130363306,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,37.1476860424135,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,36.93891414395804,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,37.200610498675,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,37.04112158694697,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,37.24762930741415,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,37.0695174994035,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,37.33390807882234,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,37.160015440406546,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,37.33782164212887,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,37.159107985935435,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,37.23006485719964,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,36.813931141324076,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,36.863781472038,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,36.57317699175529,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,36.944407774310406,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,36.69070677102149,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,36.86300246505376,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,36.580469485688454,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,37.0245985729143,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,36.80203356751282,R10LATIN_AM
