,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached
56,ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.022199818682811123,0.03817784965873211,1
57,ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.021593563869420518,0.03662249069432749,1
58,NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,0.012232979967927049,0.018644144818177222,1
59,RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.0007755585932334164,0.020893648760580807,1
60,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.00044714533188910943,0.022317578865577448,1
61,RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,0.006438290609937225,0.04283837550502323,1
62,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.006410476858150049,0.04119678662150528,1
63,RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.004833478713832384,0.008818214477569086,1
64,RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.005573915900116189,0.00912362672103173,1
65,NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,0.012034090973669087,0.023507271286294762,0
66,NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,0.016163108649708713,0.028654047426820706,1
67,NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,0.012990839372980734,0.02803291983915035,1
68,NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,0.015118291070111645,0.022436087625269108,1
69,ENGAGE-INDCi2030-1000,WITCH 5.0,0.039421864740464274,0.08761017746798994,1
70,ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.03935968650776428,0.08797432321797116,1
71,ENGAGE-INDCi2030-1000f,WITCH 5.0,0.03796710081639337,0.09079504184432652,1
72,ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.0379201858794182,0.09069859920086176,1
73,ENGAGE-INDCi2030-1200,WITCH 5.0,0.03690816327024732,0.08631521074836673,1
74,ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.03688809181873781,0.087787515762767,1
75,ENGAGE-INDCi2030-1200f,WITCH 5.0,0.035345272228387736,0.08760308323907906,1
76,ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.03519486920782078,0.0892203282517205,1
77,ENGAGE-INDCi2030-1400,WITCH 5.0,0.03306869377600591,0.08753668793364083,1
78,ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.03303179826096425,0.08919956598413148,1
79,ENGAGE-INDCi2030-1400f,WITCH 5.0,0.0330005281138428,0.08757910741007796,1
80,ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.032940396077911216,0.08914524314888478,1
81,ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.0319138128274542,0.08789008212129312,1
82,ENGAGE-INDCi2030-500f,WITCH 5.0,0.045518317283244514,0.09028054198217628,1
83,ENGAGE-INDCi2030-600f,WITCH 5.0,0.04467400086271511,0.09075644738559602,1
84,ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.04331650053434338,0.0926321200495111,1
85,ENGAGE-INDCi2030-700f,WITCH 5.0,0.041893729863998086,0.09100331851282567,1
86,ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.04140606413366288,0.09291720369227208,1
87,ENGAGE-INDCi2030-800,WITCH 5.0,0.044156885777250465,0.08678223099555249,1
88,ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.04380282188300294,0.08760006505143664,1
89,ENGAGE-INDCi2030-800f,WITCH 5.0,0.04003259820963906,0.09133133644476121,1
90,ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.03969202982989661,0.09306328151157967,1
91,ENGAGE-INDCi2030-900,WITCH 5.0,0.041403739874396106,0.08628189760424243,1
92,ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.041656021000788634,0.08814163805888792,1
93,ENGAGE-INDCi2030-900f,WITCH 5.0,0.038809833963471596,0.09106279729231204,1
94,ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.0383142459886453,0.0927889460707847,1
