model,scenario,environmental_score,environmental_score_2050
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,1.4139898549250098,1.5738659755211968
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,1.38350031612687,1.5229110618959762
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,1.414313800560827,1.5751062803670584
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,1.4143049001581107,1.5750914763110457
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,1.3961485107885405,1.5227384666231896
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,1.3961485107885405,1.5227384666231896
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,1.3961716219659785,1.5227771174936433
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,1.3961481055472231,1.5227387930223482
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,1.4975822948008854,1.692373709301612
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,1.496530358872536,1.690614452986311
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,1.4781132645433863,1.659813646196446
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,1.3962569948729395,1.522919610389889
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,1.3969651927574944,1.5241036734700504
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,1.4716681518436563,1.649034929415417
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,1.3963341774719928,1.5230464888523043
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,1.3969538810942093,1.5240841035272616
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,1.457889570818958,1.625991566405676
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,1.3961454783155167,1.5227372253706304
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,1.3961500737940902,1.52274054825101
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,1.3961499762797516,1.5227384281738745
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,1.3961499762797516,1.5227401405438683
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,1.3961459414869677,1.5227366137627452
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,1.39614502729536,1.5227370418794508
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,1.3962764523770002,1.522740792875295
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,1.3961718160981156,1.5227394853748022
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,1.3961499762797516,1.5227384281738745
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,1.396150021643424,1.522739403833374
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,1.396148501510911,1.5227384588652417
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,1.3961496229258055,1.5227384588652417
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,1.3963897519847683,1.5227384588652417
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,1.396189567544505,1.5227555111407107
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.3963856714829879,1.5230795595603768
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,1.3961982951936818,1.522768394797054
WITCH 5.0,EN_INDCi2030_500f,1.9318654575927425,1.923275764921851
WITCH 5.0,EN_NPi2020_400f,1.9903351487339078,1.9190387620755516
WITCH 5.0,EN_NPi2020_450,1.9603177406780687,2.0
WITCH 5.0,EN_NPi2020_450f,1.9971965604763362,1.9063932208395449
WITCH 5.0,EN_NPi2020_500,1.8267789248344353,1.9258366833119474
WITCH 5.0,EN_NPi2020_500f,2.0,1.859100803146216
