model,scenario,carbon_budget_fairness
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-1200f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-1400,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-1400f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-500f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-600f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-700f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-800,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-800f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-900,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,5.154514612176326
WITCH 5.0,ENGAGE-INDCi2030-900f,5.403315833816
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,5.154514612176326
