,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
43,POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,15699.55690225437,0.06994604358464636,7.686906030378894,R10LATIN_AM
44,POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,15510.412711704521,0.0691033517890529,7.594296179795149,R10LATIN_AM
45,POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,15194.382289255409,0.06769534531853108,7.439559573199683,R10LATIN_AM
46,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,14963.34344466999,0.06666600078392211,7.326437024661998,R10LATIN_AM
47,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,14677.955752218515,0.07092316008059193,7.186703885200836,R10LATIN_AM
48,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,14923.729432211348,0.07211072641094371,7.307040987362874,R10LATIN_AM
49,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,15228.386214838454,0.06784684259171457,7.45620876796666,R10LATIN_AM
50,POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,14752.732869232445,0.0657276700666503,7.223316681045168,R10LATIN_AM
51,POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,14523.172044957428,0.06470491053782805,7.110917809188792,R10LATIN_AM
52,POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,15740.825838411598,0.07012990857046204,7.707112360798879,R10LATIN_AM
53,POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,14181.922908807544,0.06318454744102402,6.943833473059824,R10LATIN_AM
54,POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,17394.409634256594,0.07749710020364951,8.516749430886666,R10LATIN_AM
55,POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,16807.844903860743,0.08121467967677316,8.22955228313532,R10LATIN_AM
56,POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,16619.80317055643,0.07404600551299997,8.137482223916498,R10LATIN_AM
57,POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,17951.315146294513,0.07997827451067346,8.789424664046962,R10LATIN_AM
58,REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,19837.233200000002,0.09296956559483127,9.881563208359456,R10LATIN_AM
59,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1494.6866183000002,0.0070152646429883,0.7369384748239606,R10LATIN_AM
60,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1402.1234713000003,0.00657927320420655,0.6913012532552887,R10LATIN_AM
61,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,5232.6873006000005,0.024654617011433372,2.579917791008748,R10LATIN_AM
62,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,4580.924282800001,0.02157726190277986,2.258573344351107,R10LATIN_AM
63,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,2686.2694371999996,0.012640427116919753,1.324435020544926,R10LATIN_AM
64,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,2645.9178277,0.01245040147316812,1.3045401120085514,R10LATIN_AM
65,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,4151.763700400001,0.015899000623671507,2.046980532067736,R10LATIN_AM
66,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1939.0512723000002,0.0074121284787625075,0.9560274841019644,R10LATIN_AM
67,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,4437.273770100001,0.016998436053306743,2.1877480700489786,R10LATIN_AM
68,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,9618.794378800001,0.037237336237960245,4.7424386974309725,R10LATIN_AM
69,WITCH 5.0,ENGAGE-INDCi2030-1000,6731.113132191372,0.021511373877392062,3.3467567455909055,R10LATIN_AM
70,WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,8231.957511323524,0.026286511005410178,4.092987116600501,R10LATIN_AM
71,WITCH 5.0,ENGAGE-INDCi2030-1000f,6558.469334892518,0.02089084099712053,3.260917036489736,R10LATIN_AM
72,WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,7107.848659734455,0.02261806145602616,3.534072297023048,R10LATIN_AM
73,WITCH 5.0,ENGAGE-INDCi2030-1200,6739.540733474724,0.021385577727629567,3.3509470081656527,R10LATIN_AM
74,WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,8058.008836932805,0.025562335025317386,4.006498613440518,R10LATIN_AM
75,WITCH 5.0,ENGAGE-INDCi2030-1200f,6716.534595050606,0.02128864710624294,3.3395081944882112,R10LATIN_AM
76,WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,7145.830914165161,0.022638696101338812,3.552957340808864,R10LATIN_AM
77,WITCH 5.0,ENGAGE-INDCi2030-1400,6709.53055886188,0.0211897980375689,3.3360257384812138,R10LATIN_AM
78,WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,7758.424116102996,0.024502704794598172,3.8575429852074925,R10LATIN_AM
79,WITCH 5.0,ENGAGE-INDCi2030-1400f,6709.582466282892,0.021191274102182887,3.3360515472156687,R10LATIN_AM
80,WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,7526.82565492586,0.023762958999741957,3.742390602980229,R10LATIN_AM
81,WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,7740.584653909993,0.024380687011691094,3.8486730792558883,R10LATIN_AM
82,WITCH 5.0,ENGAGE-INDCi2030-500f,6496.049773277371,0.021125263049805214,3.229881591862718,R10LATIN_AM
83,WITCH 5.0,ENGAGE-INDCi2030-600f,6403.788177992028,0.020708747973051254,3.1840084784093903,R10LATIN_AM
84,WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,7008.0792820620045,0.02263937283068757,3.484466261413307,R10LATIN_AM
85,WITCH 5.0,ENGAGE-INDCi2030-700f,6415.187925113536,0.020627395761960245,3.1896765127786946,R10LATIN_AM
86,WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,7025.366973111106,0.022564685510913417,3.493061822875135,R10LATIN_AM
87,WITCH 5.0,ENGAGE-INDCi2030-800,7088.001245163294,0.0229736597010653,3.524204023040116,R10LATIN_AM
88,WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,8324.708250997259,0.026932414168595684,4.139103436080717,R10LATIN_AM
89,WITCH 5.0,ENGAGE-INDCi2030-800f,6452.510251484736,0.020666987546793993,3.20823343569633,R10LATIN_AM
90,WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,7031.868082118973,0.0225005097620059,3.4962942199539846,R10LATIN_AM
91,WITCH 5.0,ENGAGE-INDCi2030-900,6739.2904279192735,0.02162007218198954,3.350822554484707,R10LATIN_AM
92,WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,8223.898140092317,0.026405468469526572,4.0889799405950535,R10LATIN_AM
93,WITCH 5.0,ENGAGE-INDCi2030-900f,6485.414010715829,0.020709841536090477,3.2245934159847773,R10LATIN_AM
94,WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,7049.155781378968,0.02248372434009904,3.504889785498327,R10LATIN_AM
95,IMAGE 3.0,ENGAGE-INDCi2030-1000,9414.490322367525,0.03392130497026998,18.823257433312452,R10INDIA+
96,IMAGE 3.0,ENGAGE-INDCi2030-1000f,11452.277425017115,0.04126364591561353,22.897592836932162,R10INDIA+
97,IMAGE 3.0,ENGAGE-INDCi2030-1200,9399.998688352023,0.03386909023318651,18.79428297496551,R10INDIA+
98,IMAGE 3.0,ENGAGE-INDCi2030-1200f,9843.069650082005,0.03546551709238731,19.680155548869376,R10INDIA+
99,IMAGE 3.0,ENGAGE-INDCi2030-1400f,10069.285892200798,0.036280595750433055,20.132450512823173,R10INDIA+
100,IMAGE 3.0,ENGAGE-INDCi2030-800f,8910.921121809217,0.03210689719662879,17.816425159548675,R10INDIA+
101,IMAGE 3.0,ENGAGE-NPi2020-1000,9394.562518962415,0.03384950319730663,18.783413940916095,R10INDIA+
