model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops,region
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,-0.004302191194109885,0.15318371121061114,0.060773729377627816,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,-0.00283287656865365,0.13655300092192968,0.06312498778346476,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.0,0.10088139833771587,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,-0.0016013963587772906,0.1339749148551655,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.0,0.09315048770735229,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,-0.002734644131180214,0.11975585851042386,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.0,0.08887300763188344,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.0,0.10654039499443918,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.0,0.11388564935338819,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,-0.0013828600674489142,0.14225880306512212,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,-0.001687591352495653,0.1272685684379496,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.0,0.13661555982430745,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,-0.0014875590295831062,0.12757739949234148,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,-0.006862145912286607,0.17560743271073342,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.0,0.10654039499443918,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.0,0.08887300763188344,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.0,0.10366486484832715,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,-0.0014875590295831062,0.09789510203860408,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,-0.0026669992729372455,0.1444999718345349,0.01949999181043527,R10LATIN_AM
