model,scenario,investment_score,investment_score_2050
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.9696915187304207,0.6747917084444924
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.0,0.6783029240823912
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.8484909923243058,0.7649813070625069
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.8481542428331081,0.7629992894616048
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.6619664643576032,0.6953326354933189
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.6999081401771586,0.723846586182269
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.4083355538048424,0.38843474571011805
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.7998657317462717,1.0
WITCH 5.0,ENGAGE-INDCi2030-1000,0.2648228378243151,0.19550177600106272
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.27680000154435386,0.20309640605555998
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.27235246191990375,0.2097609419296483
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.2772709943056825,0.2091203775012071
WITCH 5.0,ENGAGE-INDCi2030-1200,0.2879935554004077,0.21713633648049258
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.2911303415283545,0.2216453152030449
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.277971156938112,0.22623356445254225
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.28175762264078885,0.2280472760057011
WITCH 5.0,ENGAGE-INDCi2030-1400,0.2941811874607151,0.24660160238897524
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.295490480912775,0.24312176934473492
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.2864022078040351,0.2492159118006711
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.2914723942987886,0.25034659059539943
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.3108723377105896,0.2680130496267787
WITCH 5.0,ENGAGE-INDCi2030-500f,0.2681623624444699,0.17584244942179117
WITCH 5.0,ENGAGE-INDCi2030-600f,0.26272424087783275,0.17496497391432247
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.2698570734640782,0.1869446846984795
WITCH 5.0,ENGAGE-INDCi2030-700f,0.2634776833346444,0.18042214098052725
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.27094017923789393,0.19146501473099578
WITCH 5.0,ENGAGE-INDCi2030-800,0.2627551706744852,0.180922513580167
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.265154642132638,0.18049820128606275
WITCH 5.0,ENGAGE-INDCi2030-800f,0.26612480468963334,0.19112741498308686
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.270776400593987,0.19716781400111427
WITCH 5.0,ENGAGE-INDCi2030-900,0.27156368724147023,0.19458681016704238
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.25570961576473594,0.18747541888553404
WITCH 5.0,ENGAGE-INDCi2030-900f,0.2677413432532211,0.199330339464996
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.2744284727359664,0.20923825340031807
