model,scenario,final_demand_reduction,electrification,transition_speed_score,Region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.9410333817100516,0.9046854118320539,1.8457187935421056,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.8678530458429013,0.8095514612355734,1.6774045070784749,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.811103097666024,0.7369065593448543,1.5480096570108781,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.7177168074578341,0.5942526438537858,1.31196945131162,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.6765683196805735,0.5681232725381747,1.2446915922187483,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.8238476448985863,0.7150887551203688,1.5389364000189552,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.7192553658286567,0.6186775603830709,1.3379329262117277,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.629647873568774,0.5053768155429637,1.1350246891117377,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1.0,1.0,2.0,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.5065861876387859,0.3711702292453169,0.8777564168841028,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.17675498513071944,0.2404409675607239,0.41719595269144333,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.17721691695933084,0.19863344935809446,0.3758503663174253,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.16200180435776518,0.18646119835474323,0.3484630027125084,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.2117126150544633,0.2838276682519098,0.4955402833063731,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.7357983489922201,0.6200933020036211,1.3558916509958412,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.0,0.2907223653014402,0.2907223653014402,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.0,0.2881164327846199,0.2881164327846199,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.0,0.4713379158355958,0.4713379158355958,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.0,0.46677866545592306,0.46677866545592306,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.0,0.4006875169653824,0.4006875169653824,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.0,0.4007043662484059,0.4007043662484059,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.13163235161470482,0.4371608056091326,0.5687931572238374,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.08069120195746554,0.47624577632874937,0.5569369782862149,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.8015521262137267,0.8470200551914089,1.6485721814051355,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.22052642635035535,0.8534775422353126,1.074003968585668,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,0.43314867937663887,0.8917293645522131,1.324878043928852,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.3749256825852579,0.762811780022616,1.1377374626078738,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.3203653545267626,0.7447209595810008,1.0650863141077633,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.3749256825852579,0.7144091283972926,1.0893348109825505,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.2665436709969315,0.6149190438980037,0.8814627148949352,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.3749256825852579,0.6064918495077198,0.9814175320929777,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.21723970078495106,0.5835156914110287,0.8007553921959797,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.3749256825852579,0.5452939400245784,0.9202196226098363,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,0.09810950905610547,0.43174764202534044,0.5298571510814459,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.3749256825852579,0.4736383875319111,0.8485640701171691,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.09365598047570264,0.43119286256713896,0.5248488430428416,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.3749256825852579,0.46860190275092023,0.8435275853361781,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.3749256825852579,0.3395030420409164,0.7144287246261742,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,0.7067160061194099,0.8828406550102805,1.5895566611296905,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.6241561411307113,0.9997233044234206,1.6238794455541319,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.3749256825852579,0.9529269097141461,1.327852592299404,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.5567625800228138,0.9537461868269599,1.5105087668497736,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.3749256825852579,0.8144833798813266,1.1894090624665845,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.64683719209131,0.9284078652994281,1.5752450573907382,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.3749256825852579,0.8110833740197263,1.1860090566049841,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.47486796825116273,0.9125828312426484,1.387450799493811,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.3749256825852579,0.8735197968278959,1.2484454794131539,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.5968696988340323,0.862162808580296,1.4590325074143284,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.3749256825852579,0.8157178188263456,1.1906435014116035,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.40335164840495163,0.8864833462950885,1.28983499470004,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.3749256825852579,0.7752745229551247,1.1502002055403826,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.27890700322520773,0.2125721275464956,0.49147913077170335,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.09389925636308633,0.40171150436631575,0.4956107607294021,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.171533396014129,0.01409574281954353,0.18562913883367255,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,0.057118300383260365,0.057118300383260365,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,0.169390333270847,0.169390333270847,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.29348497617025654,0.354601479595814,0.6480864557660706,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.05498926594525183,0.05295662870426045,0.10794589464951228,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,0.0,0.0,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,0.01068665684733903,0.01068665684733903,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,0.09728270736061477,0.09728270736061477,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,0.2803014821842347,0.2803014821842347,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,0.4577787106450156,0.4577787106450156,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.0,0.44828247329401727,0.44828247329401727,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,0.31465170356421956,0.31465170356421956,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.04768717355110463,0.30825067029285735,0.355937843843962,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,0.4746165060217685,0.4746165060217685,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.026800473944659713,0.4983176003402969,0.5251180742849566,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,0.09470809185655236,0.09470809185655236,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.0,0.4368857184070326,0.4368857184070326,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,0.11358206030795179,0.11358206030795179,R10INDIA+
