model,scenario,electricity_price
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,4.103198209441668
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,2.1743426557953196
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,3.0594940530661154
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,4.497576480719264
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,3.9056481081941903
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,5.218104316060749
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,8.246013438267182
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,3.901142582371812
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,5.369493696744127
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,4.694806021970942
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,5.514655325143557
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.6127156081380912
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,4.380834053722205
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,-0.49633995884039905
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,10.250433057043782
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,11.52662645936863
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,13.551701639733828
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,17.014827958963654
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,18.180716718258637
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,19.505729895514303
WITCH 5.0,EN_INDCi2030_500f,1.273706837276355
WITCH 5.0,EN_NPi2020_400f,1.53566947220773
WITCH 5.0,EN_NPi2020_450,2.0942543961968405
WITCH 5.0,EN_NPi2020_450f,1.525505283689338
WITCH 5.0,EN_NPi2020_500,1.872728019727018
WITCH 5.0,EN_NPi2020_500f,1.5348328222367271
