model,scenario,final_energy_demand,energy_per_gdp,region
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,4289.21245,0.00014340766616893267,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,4325.726699999999,0.0001432393950057862,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,4307.40525,0.00014311548696460677,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,CO_Bridge,4133.308300000001,0.00013782304563757298,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,4188.6575,0.00014178316587645608,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,4185.596200000001,0.00014020444160609813,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,4074.3051999999993,0.00013772421253385717,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,4010.7822499999997,0.00013544097839595417,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,4031.169,0.00014316760095030385,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,4307.40525,0.00014311548696460677,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,4325.726699999999,0.0001432393950057862,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,4223.4959,0.00014048044818253493,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,4173.567349999999,0.00013887760519553936,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,4113.035449999999,0.0001422053025067311,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,4025.5104500000007,0.000135641593092308,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,3966.0405499999997,0.0001362642934453503,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,3914.9748,0.00013395758718020556,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,2506.9188,6.860837011300028e-05,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,2405.9210500000004,6.618570290374976e-05,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,3774.2262499999997,0.00012043401438738975,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,3476.9406500000005,0.0001124594859572154,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,4217.36875,0.00013493199513744247,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,4099.52025,0.00013099818363376838,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,4061.4394,0.0001296640829246359,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,3139.8809499999998,0.00011329741275124124,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,3158.19065,0.00011383873471343582,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,3953.4774500000003,0.00012609678016480238,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,3319.7644,0.00011832218185956033,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,3317.6274500000004,0.00011824055499738544,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,3952.60555,0.0001260863985160357,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,4068.5736,0.00013013969843169565,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,4020.8950000000004,0.00012850657357430155,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,3601.79885,0.0001157331829696682,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,3941.271399999999,0.0001258575069449529,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,3637.6582000000003,0.0001165243345386846,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,3880.61315,0.0001238290245015871,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,3666.8815499999996,0.00011719839086143802,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,3239.37815,0.00011553170727380525,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,3837.2416499999995,0.00012231880420359502,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,3270.0137499999996,0.00011647035071853707,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,1984.8033500000001,5.422113476714117e-05,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,2531.5560499999997,6.935685485641557e-05,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,3707.94935,0.00011842839264233017,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,2494.59185,7.881308498128475e-05,R10LATIN_AM
