model,scenario,resource_ratio,resource_score
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.4521199646431337,0.38516793025614493
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.45296597814945383,0.38605314114777134
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.7091589635874986,0.6541160259289797
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.7083255739581257,0.6532440238020889
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.7089527716420252,0.6539002807256996
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.5169608141225827,0.45301297735376955
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.6346533222145839,0.5761583990847133
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1.039727098765017,1.0
WITCH 5.0,ENGAGE-INDCi2030-1000,0.22181236212089467,0.1441897465108092
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.23867079795396803,0.1618292651517495
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.22158013714589755,0.1439467621191424
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.23883763984117012,0.1620038371350896
WITCH 5.0,ENGAGE-INDCi2030-1200,0.22149690324992868,0.14385967184137055
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.23858246497225574,0.16173683953807147
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.22138532924678223,0.1437429284063429
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.2388069349479895,0.16197170962687998
WITCH 5.0,ENGAGE-INDCi2030-1400,0.22080856596695286,0.14313944260690706
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.23866565606584367,0.16182388503034814
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.22083467160157821,0.14316675776432541
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.23840966561823956,0.16155603406735686
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.23766383989788936,0.16077565284888104
WITCH 5.0,ENGAGE-INDCi2030-500f,0.22195424837154143,0.14433820661635866
WITCH 5.0,ENGAGE-INDCi2030-600f,0.2217433222633114,0.14411750790772251
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.23932417973618886,0.16251291933184397
WITCH 5.0,ENGAGE-INDCi2030-700f,0.22195828673795132,0.14434243208782419
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.23861503208287793,0.16177091554373355
WITCH 5.0,ENGAGE-INDCi2030-800,0.22375577397655563,0.14622320026621058
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.24212224957591255,0.16544062897140793
WITCH 5.0,ENGAGE-INDCi2030-800f,0.22164881346138057,0.14401862033654458
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.2390340074899752,0.1622093028636941
WITCH 5.0,ENGAGE-INDCi2030-900,0.22228937466123405,0.14468885993275382
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.23904922504767054,0.16222522547924956
WITCH 5.0,ENGAGE-INDCi2030-900f,0.22194522984860854,0.14432877024842017
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.23891857457330268,0.16208852172447188
