model,scenario,between_region_gini,carbon_budget_fairness,fairness_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.30915355301519337,0.7995258189230842,1.1086793719382775
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.30915355301519337,0.5615300706942348,0.8706836237094282
IMAGE 3.2,SSP1_SPA1_19I_LI,0.30915355301519337,0.6997005493810865,1.0088541023962798
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.5186579603250988,0.7616488698236671,1.280306830148766
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.5186579603250988,0.5329254648012037,1.0515834251263025
IMAGE 3.2,SSP1_SPA1_19I_RE,0.30915355301519337,0.7714448077066778,1.0805983607218712
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.30915355301519337,0.5914660216360087,0.900619574651202
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.5186579603250988,0.6212541326860284,1.139912093011127
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.5186579603250988,0.5213006978452293,1.039958658170328
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.5186579603250988,0.6617859822950155,1.1804439426201143
IMAGE 3.2,SSP2_SPA2_19I_D,0.5186579603250988,0.7564080911544708,1.2750660514795698
IMAGE 3.2,SSP2_SPA2_19I_LI,0.5186579603250988,0.7507694633148455,1.2694274236399443
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.5186579603250988,0.7018327188152167,1.2204906791403154
IMAGE 3.2,SSP2_SPA2_19I_RE,0.5186579603250988,0.6978462082601707,1.2165041685852696
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.2236249010211099,0.9347837306724338,1.1584086316935438
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.22160032913626423,0.8593844938106352,1.0809848229468995
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.0350833308207869,1.0,1.035083330820787
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.20408665517568406,0.9347837306724338,1.138870385848118
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.20309218823609945,0.8593844938106352,1.0624766820467346
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.03302491789258798,0.9096814416053858,0.9427063594979738
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.025776645012502524,0.4776991292385704,0.5034757742510729
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.018863684112807255,0.5764481011072399,0.5953117852200471
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.014150285422331143,0.63107831859981,0.6452286040221411
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.011099914338746426,0.2277248650312568,0.23882477937000324
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.012764763024378142,0.6649004637728715,0.6776652267972496
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.004876500865358004,0.3175486771914342,0.3224251780567922
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.01124159101013627,0.6921478879004178,0.703389478910554
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.0024237922060491436,0.46292016979708484,0.465343962003134
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.17684163142402698,0.4976933551030619,0.6745349865270889
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.0071200360362151495,0.5669845652201807,0.5741046012563958
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.0008372083658788573,0.34825277635890806,0.3490899847247869
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.001104853649460514,0.38513330119846295,0.38623815484792345
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.0014479967256114598,0.4040071744600668,0.40545517118567825
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.001928357337373133,0.4067423744439676,0.4086707317813407
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.009234559211763362,0.7473650974715104,0.7565996566832738
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.18356628152389612,0.6893011789577131,0.8728674604816092
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.09642533077402766,0.9931169945636212,1.0895423253376488
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.0,0.4430340708616001,0.4430340708616001
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.0010610563884224289,0.5724282161875986,0.5734892725760211
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.002677153563730454,0.6509465124066399,0.6536236659703704
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.005005648401458514,0.6736906776504061,0.6786963260518647
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.0013947109195400753,0.6064635736994137,0.6078582846189537
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.1761451880444695,0.5898958231835202,0.7660410112279896
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.007184924351560976,0.7960084459830342,0.8031933703345951
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.1821699557542521,0.7529720502775691,0.9351420060318212
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.17920959548101548,0.42265228934045046,0.601861884821466
