model,scenario,total_CDR
WITCH 5.0,ENGAGE-INDCi2030-1200f,45221.24358830891
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,45250.67041526793
WITCH 5.0,ENGAGE-INDCi2030-1400,40230.486515959325
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,41220.104017676174
WITCH 5.0,ENGAGE-INDCi2030-1400f,40839.393705790295
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,41261.99989029717
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,39364.35302189291
WITCH 5.0,ENGAGE-INDCi2030-500f,54863.51387660884
WITCH 5.0,ENGAGE-INDCi2030-600f,54364.78828593889
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,54638.05165215544
WITCH 5.0,ENGAGE-INDCi2030-700f,53685.4693423456
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,54007.76842088089
WITCH 5.0,ENGAGE-INDCi2030-800,62373.99132630247
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,62779.870529585634
WITCH 5.0,ENGAGE-INDCi2030-800f,52481.62483759555
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,51446.40592084105
WITCH 5.0,ENGAGE-INDCi2030-900,55585.49200857869
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,54952.34931576269
WITCH 5.0,ENGAGE-INDCi2030-900f,49999.833082540565
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,49592.21088638283
