model,scenario,resource_score,Region
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,4.800724789309031,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1.4061083581885188,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,4.330272858808423,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,7.255433979496365,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-500f,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800,0.0,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.0,R10INDIA+
