model,scenario,final_energy_demand,energy_diversity,gini_coefficient,electricity_price,resilience_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.0543276325650431,0.14322613708866855,0.0,0.36918864099730514,0.5667424106510168,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.023431576135236023,0.17872358248529724,0.0,0.6209442769844469,0.8230994356049801,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0,0.13142967816594325,0.0,0.39107862548373784,0.5225083036496811,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.17818885979420382,0.050008246792323206,0.0,0.43753728198437636,0.6657343885709034,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.14852113529423122,0.2723094363356868,0.0,0.520755110669164,0.941585682299082,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.05909996854640321,0.24087971379718454,0.0,0.6161785563768907,0.9161582387204784,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.026164359196208575,0.3427398506943492,0.0,0.7159146185572693,1.084818828447827,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2192292094567147,0.0,1.0,0.4260967789559732,1.6453259884126878,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.15080026021682544,0.23030863246279965,1.0,0.5080247302742832,1.8891336229539082,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.21727771194653836,0.25273767992700125,1.0,0.5105668448374505,1.98058223671099,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.2443163712593744,0.016997290888259565,1.0,0.4282195972895702,1.6895332594372041,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.18302837989261908,0.013158445820193211,1.0,0.49339716253715604,1.6895839882499684,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.26542933951470954,0.11356483124906344,1.0,0.49238140525978696,1.87137557602356,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.24055432793219383,0.21014981636908153,1.0,0.57479228171389,2.0254964260151653,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.18718926182898932,0.841750452893249,1.0,0.7102202337091925,2.7391599484314306,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.1944786675717169,0.7759705563979725,1.0,0.7230628584336074,2.6935120824032968,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.19885882160946985,0.7414839548358138,1.0,0.7665482389305838,2.7068910153758674,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.200772946879112,0.8005323165966316,1.0,0.6917087450879852,2.693014008563729,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.20691439537863587,0.7144508990476776,1.0,0.6768090256505265,2.59817432007684,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.20036809561164048,0.7434604392617259,1.0,0.7579301722118316,2.701758707085198,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.18191613754846092,0.9751194303042431,1.0,0.7894013896859546,2.9464369575386584,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.18906321895776182,0.9276175995554298,1.0,0.7563773604302083,2.8730581789434,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.1997654050697347,0.8553561334356908,1.0,0.7162794994642242,2.77140103796965,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.20131766252710487,0.8009042827963707,1.0,0.8644532606616255,2.866675205985101,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.20521906335083992,0.8229734365851925,1.0,0.6933980225912076,2.72159052252724,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.21045259215058684,0.7705938511199811,1.0,0.9350471503134365,2.916093593584004,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.20868991718555932,0.8076814915201941,1.0,0.6759174522954863,2.6922888610012397,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.21825997714536682,0.6290756617940343,1.0,0.7599613052305667,2.607296944169968,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.2210799058633675,0.6233053227314678,1.0,0.6785763934417329,2.522961622036568,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.20897048243141325,0.6909814902942752,1.0,1.0,2.8999519727256886,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.22774195966823205,0.7220802993725597,1.0,0.7451961298202616,2.6950183888610533,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.22189343060401023,0.7299661820585619,1.0,0.6959072915761877,2.6477669042387597,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.22071213791642916,0.6889603035099737,1.0,0.6977214283798469,2.6073938698062498,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.21871813963874912,0.6509279261772545,1.0,0.7328801001093901,2.6025261659253935,R10LATIN_AM
