model,scenario,Final energy per cap reductions,Share of final energy from electricity,region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,-0.009615572240547127,0.15429983081270432,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,-0.00841762870608849,0.13768023028476561,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,-0.013368787634234752,0.21023438470920275,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,-0.006772443160979545,0.11799404149904402,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,-0.002362999859504944,0.09881792655314126,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,-0.002369175328023103,0.09268536094139013,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,-0.002165767718821876,0.0908998656254768,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,-0.0028303409901516974,0.10518213567401102,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,-0.009836731869297545,0.15450749988158408,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.0,0.106193489225888,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.0,0.10581123615691279,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.0,0.1326872100151692,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.0,0.13201843312297895,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.0,0.122323805890867,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.0,0.12232627743995905,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,-0.0017597649545319227,0.12767391623705038,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,-0.0010787435429205766,0.13340712303037647,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,-0.010715780153120608,0.18779441244694722,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,-0.002948170961614649,0.1887416335374658,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,-0.005790672708635564,0.1943526293633956,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,-0.0050123018291028595,0.17544226157250153,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,-0.00428289639003461,0.17278859667924235,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,-0.0050123018291028595,0.1683422841130321,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,-0.003563365732807307,0.15374851014268015,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,-0.0050123018291028595,0.1525123611258713,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,-0.0029042314255187177,0.14914208699596465,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,-0.0050123018291028595,0.14353550214590527,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,-0.0013116051914701596,0.12687988247776688,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,-0.0050123018291028595,0.13302465634592858,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,-0.0012520669136557722,0.12679850425744332,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,-0.0050123018291028595,0.13228587598536484,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,-0.0050123018291028595,0.11334891756871762,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,-0.009447936203524937,0.19304878266755732,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,-0.008344210901379927,0.21019379742129846,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,-0.0050123018291028595,0.2033294349026455,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,-0.007443240695013606,0.20344961114999388,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,-0.0050123018291028595,0.18302174703398877,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,-0.008647429054993487,0.19973284139326952,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,-0.005012301829102846,0.1825230147503467,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,-0.006348409021850396,0.1974115349911283,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,-0.0050123018291028595,0.19168154594031944,R10LATIN_AM
