model,scenario,ssp_gini_coefficient,ssp,region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.402761207095862,2,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.402761207095862,2,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.402761207095862,2,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000,0.402761207095862,2,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.402761207095862,2,R10AFRICA
