model,scenario,between_region_gini
WITCH 5.0,ENGAGE-INDCi2030-1200,0.3762340118939966
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.3763010098422798
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.3754984909229748
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.37563052242692685
WITCH 5.0,ENGAGE-INDCi2030-1400,0.3758967839719752
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.375945244767059
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.37559237416790703
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.3755372031348688
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.3753551969176499
WITCH 5.0,ENGAGE-INDCi2030-500f,0.3781855223329873
WITCH 5.0,ENGAGE-INDCi2030-600f,0.3770343344629775
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.37672785588839447
WITCH 5.0,ENGAGE-INDCi2030-700f,0.37624696467408897
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.37601587693848076
WITCH 5.0,ENGAGE-INDCi2030-800,0.37735971882111746
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.37748137638576845
WITCH 5.0,ENGAGE-INDCi2030-800f,0.3756255182765429
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.3756600213247111
WITCH 5.0,ENGAGE-INDCi2030-900,0.37625254653236695
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.37674763963706087
WITCH 5.0,ENGAGE-INDCi2030-900f,0.37548745045966725
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.37546668703234354
