model,scenario,flexibility_score,region
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,36.65882323069057,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,36.69985610344746,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,36.444618973341264,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,36.53937207039963,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,36.39662189684365,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,36.22896328329543,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,36.19427316301368,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,36.3530505301948,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,36.05862512426929,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,36.21408280759083,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,36.2455821973733,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,36.27307521413748,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,35.84077362038131,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,35.909709296005374,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,36.25360148557083,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,36.22020255577634,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,36.23750501453117,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,36.24340074927345,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,35.9752512521081,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,36.022039496460735,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,35.63950902495487,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,36.084376590143684,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,35.76369894194964,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,36.11996790252157,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,35.918219043517965,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,36.03151532936294,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,36.147821083384,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,36.206146048419455,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,35.83736077361093,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,35.87124609562295,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,35.989454853852415,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,35.34842884562161,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,36.6173534088189,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,37.04032023509607,R10LATIN_AM
WITCH 5.0,EN_INDCi2030_500f,36.81393114132407,R10LATIN_AM
WITCH 5.0,EN_NPi2020_400f,36.451756397004395,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450,36.257762233327156,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450f,36.50778056773071,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500,36.272444481982276,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500f,36.58900710224879,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D,38.21261674935068,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D_LB,37.48742739300923,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LI,38.47226773714497,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE,39.36698306102901,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,38.1821655683876,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE,37.689616580110766,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,37.30823446825543,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_D_LB,39.56070609770093,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,38.83571163589392,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,38.91128178770992,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_D,39.62722757460242,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LI,39.58446798841991,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LIRE,39.0763443211922,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_RE,38.948425511222986,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,37.307793868359305,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,37.31809136686958,R10INDIA+
