model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.4196395932993144,0.2770876822004638,0.0,0.6967272754997782
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.4378095754713926,0.2781456878179704,0.0,0.715955263289363
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.4717684998340847,0.25641746022582645,0.0,0.7281859600599112
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.5942043975084956,0.07535999058098002,0.0,0.6695643880894756
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.5149516064081794,0.1821161524200638,0.0,0.6970677588282432
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.6194992514983383,0.04247286266783723,0.0,0.6619721141661755
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.5228620763447177,0.02268824054367525,0.0,0.545550316888393
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.6820134067971205,0.026762974633624467,0.0,0.708776381430745
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.5803955862097395,0.08136764792837899,0.0,0.6617632341381186
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.33155632318516776,0.7636155787884239,0.0,1.0951719019735917
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.975501937161753,0.7387735358403844,0.0,1.7142754730021375
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.0,0.7755930363054145,0.0,1.7755930363054144
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.8850489335047101,0.8649386646743414,0.0,1.7499875981790516
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.931837907388446,0.9306125834204481,0.0,1.862450490808894
