,scenario,model,mean_value,mean_value_2050,region
49,ENGAGE-INDCi2030-600f-NDCp,POLES-JRC ENGAGE,1.2419235139822182,1.1498816836888315,R10LATIN_AM
50,ENGAGE-INDCi2030-700f,POLES-JRC ENGAGE,1.2364900471950315,1.1123697522495783,R10LATIN_AM
51,ENGAGE-INDCi2030-800f,POLES-JRC ENGAGE,1.1373769935123803,1.0678442645429804,R10LATIN_AM
52,ENGAGE-INDCi2030-900,POLES-JRC ENGAGE,0.8861491283131823,1.2805818793953727,R10LATIN_AM
53,ENGAGE-INDCi2030-900f,POLES-JRC ENGAGE,1.104173933191181,0.9432694010965401,R10LATIN_AM
54,ENGAGE-NPi2020-1000f,POLES-JRC ENGAGE,0.7562035481453573,0.7057320217890559,R10LATIN_AM
55,ENGAGE-NPi2020-1000f-COV,POLES-JRC ENGAGE,0.7087083620389796,0.673396058965252,R10LATIN_AM
56,ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.6577757346220987,0.6583141809027796,R10LATIN_AM
57,ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.8593492114752949,0.7488253830951955,R10LATIN_AM
58,NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,0.7423103819013314,0.9725544628321694,R10LATIN_AM
59,RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,1.0976419948614522,1.2967871558153925,R10LATIN_AM
60,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,1.1326219206875736,1.3134868242984852,R10LATIN_AM
61,RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,1.248181387788692,1.3553913337585288,R10LATIN_AM
62,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,1.2017659186896068,1.3498450420355046,R10LATIN_AM
63,RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,1.1719893398775834,1.4315904679497893,R10LATIN_AM
64,RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,1.1723907386320076,1.4306729232947275,R10LATIN_AM
65,NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,0.8836128002999464,1.1506317982316843,R10LATIN_AM
66,NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,0.8739927807690483,1.1031372071365992,R10LATIN_AM
67,NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,0.5352158493864958,0.716459190487127,R10LATIN_AM
68,NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,1.0211602899205632,1.3646129435670895,R10LATIN_AM
69,ENGAGE-INDCi2030-1000,WITCH 5.0,0.569374321372912,0.8126324089530397,R10LATIN_AM
70,ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.5995932194363219,0.8092748456694172,R10LATIN_AM
71,ENGAGE-INDCi2030-1000f,WITCH 5.0,0.5777550529288642,0.8201797625863749,R10LATIN_AM
72,ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.6212067807636471,0.8270875700644261,R10LATIN_AM
73,ENGAGE-INDCi2030-1200,WITCH 5.0,0.6283725868389318,0.8687468782916109,R10LATIN_AM
74,ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.6384252044227012,0.8592205934287496,R10LATIN_AM
75,ENGAGE-INDCi2030-1200f,WITCH 5.0,0.6065920430662202,0.8588951779097305,R10LATIN_AM
76,ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.6434732250303355,0.8567774220568162,R10LATIN_AM
77,ENGAGE-INDCi2030-1400,WITCH 5.0,0.6380551285585011,0.8891305246857344,R10LATIN_AM
78,ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.6631499951125357,0.8764246716411954,R10LATIN_AM
79,ENGAGE-INDCi2030-1400f,WITCH 5.0,0.6268870221250408,0.8833158452302519,R10LATIN_AM
80,ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.6622206271533753,0.8781818436807222,R10LATIN_AM
81,ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.6852496881140547,0.885410964358295,R10LATIN_AM
82,ENGAGE-INDCi2030-500f,WITCH 5.0,0.5096723431672702,0.7109717605868564,R10LATIN_AM
83,ENGAGE-INDCi2030-600f,WITCH 5.0,0.5183390579707948,0.7080919253755021,R10LATIN_AM
84,ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.5651692280664206,0.7289398314253713,R10LATIN_AM
85,ENGAGE-INDCi2030-700f,WITCH 5.0,0.537817138525753,0.7488508118769629,R10LATIN_AM
86,ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.580311505988335,0.756638044492861,R10LATIN_AM
87,ENGAGE-INDCi2030-800,WITCH 5.0,0.5557274927293337,0.7356473133673591,R10LATIN_AM
88,ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.5694907434796154,0.7337902758319981,R10LATIN_AM
89,ENGAGE-INDCi2030-800f,WITCH 5.0,0.55852510769047,0.7874514914693668,R10LATIN_AM
90,ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.5972902188061013,0.7901206132853972,R10LATIN_AM
91,ENGAGE-INDCi2030-900,WITCH 5.0,0.5865689046625615,0.7912502640094811,R10LATIN_AM
92,ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.5725961533700246,0.7598087400529292,R10LATIN_AM
93,ENGAGE-INDCi2030-900f,WITCH 5.0,0.569032251861396,0.8089447174580866,R10LATIN_AM
94,ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.6084196319820148,0.8103094556888524,R10LATIN_AM
95,ENGAGE-INDCi2030-1000,IMAGE 3.0,0.6464259455016087,0.9270747896613079,R10INDIA+
96,ENGAGE-INDCi2030-1000f,IMAGE 3.0,0.6713738099625964,0.8583881629551312,R10INDIA+
97,ENGAGE-INDCi2030-1200,IMAGE 3.0,0.6035586647908573,0.8650802179906976,R10INDIA+
98,ENGAGE-INDCi2030-1200f,IMAGE 3.0,0.6042344350828609,0.8481041234110531,R10INDIA+
99,ENGAGE-INDCi2030-1400f,IMAGE 3.0,0.6132841222148308,0.8501648792363452,R10INDIA+
100,ENGAGE-INDCi2030-800f,IMAGE 3.0,0.6748240295229321,0.9180995226819803,R10INDIA+
101,ENGAGE-NPi2020-1000,IMAGE 3.0,0.6249232789063065,0.885824475248588,R10INDIA+
102,ENGAGE-NPi2020-1200,IMAGE 3.0,0.6116942383645833,0.8717606999804126,R10INDIA+
103,ENGAGE-NPi2020-1400,IMAGE 3.0,0.6157130096109262,0.890559844934812,R10INDIA+
104,ENGAGE-NPi2020-1400f,IMAGE 3.0,0.621975032410966,0.8844481946641966,R10INDIA+
105,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.6831849803182584,1.2263943724166002,R10INDIA+
106,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.7230851304858417,1.1173243743935413,R10INDIA+
107,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.7865031256051201,1.4221854038473356,R10INDIA+
108,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.59955489038474,0.9888259976893113,R10INDIA+
109,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.5487726697578998,0.914299441871036,R10INDIA+
110,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.6585632539921144,0.9826855821806791,R10INDIA+
111,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.6490531792083439,1.1988289582190692,R10INDIA+
112,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,0.678990747609505,0.960681620286159,R10INDIA+
113,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.9048475222715067,1.4560400741945123,R10INDIA+
114,SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,0.6673462629649788,0.9959447118748346,R10INDIA+
115,SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,0.6312389031339254,0.9862179854139671,R10INDIA+
116,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,0.7087880643007461,1.1333392196007672,R10INDIA+
117,SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,0.7937434408735855,1.2205564031918519,R10INDIA+
118,NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,0.787411387414078,1.350862985009051,R10INDIA+
119,NAVIGATE Demand-1.5°C-tec_u,IMAGE 3.3,0.7771493324512612,1.4253150079154084,R10INDIA+
120,NAVIGATE Demand-2.0°C-ele_u,IMAGE 3.3,0.6548915904760526,1.0044997702039187,R10INDIA+
121,NAVIGATE Demand-2.0°C-ref,IMAGE 3.3,0.6429367895122831,1.022447914379502,R10INDIA+
122,NAVIGATE Demand-2.0°C-tec_u,IMAGE 3.3,0.5993129812797076,0.9524478122001095,R10INDIA+
123,NGFS Phase 5-Below 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.3781015915011039,0.6463887169912327,R10INDIA+
124,NGFS Phase 5-Delayed Transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.37504907388956876,0.6423655965353097,R10INDIA+
125,NGFS Phase 5-Low Demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.29903933005438954,0.592736514240682,R10INDIA+
126,NGFS Phase 5-Nationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.34578438594289146,0.5857936781365843,R10INDIA+
127,NGFS Phase 5-Net-Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.4226418702578585,0.7423478935581881,R10INDIA+
128,ENGAGE-INDCi2030-1000,POLES-JRC ENGAGE,0.9773295747952644,1.3289457996994147,R10INDIA+
129,ENGAGE-INDCi2030-1000-COV,POLES-JRC ENGAGE,0.8707415009145734,1.1917941972125923,R10INDIA+
130,ENGAGE-INDCi2030-1000-COV-NDCp,POLES-JRC ENGAGE,0.8583832083948832,1.1847776935974021,R10INDIA+
131,ENGAGE-INDCi2030-1000-NDCp,POLES-JRC ENGAGE,0.9573545494726279,1.3187361204130519,R10INDIA+
132,ENGAGE-INDCi2030-1000f,POLES-JRC ENGAGE,0.9333622066498329,1.1675122786286214,R10INDIA+
133,ENGAGE-INDCi2030-1000f-COV,POLES-JRC ENGAGE,0.8393029905721945,1.0223575994142098,R10INDIA+
134,ENGAGE-INDCi2030-1000f-COV-NDCp,POLES-JRC ENGAGE,0.8140792747814215,0.9953050052260322,R10INDIA+
135,ENGAGE-INDCi2030-1000f-NDCp,POLES-JRC ENGAGE,0.8842300534590393,1.0539910599506144,R10INDIA+
136,ENGAGE-INDCi2030-1200,POLES-JRC ENGAGE,0.8061792445826282,1.08069668931211,R10INDIA+
137,ENGAGE-INDCi2030-1200f,POLES-JRC ENGAGE,0.771471898024793,0.9815036930006726,R10INDIA+
138,ENGAGE-INDCi2030-300f,POLES-JRC ENGAGE,1.2090594706918807,1.3097549383924822,R10INDIA+
139,ENGAGE-INDCi2030-400f,POLES-JRC ENGAGE,1.193424295261674,1.33812515857919,R10INDIA+
140,ENGAGE-INDCi2030-500f,POLES-JRC ENGAGE,1.1680157507228703,1.3203828675792715,R10INDIA+
141,ENGAGE-INDCi2030-600f,POLES-JRC ENGAGE,1.144918706689869,1.325256332282776,R10INDIA+
142,ENGAGE-INDCi2030-600f-COV,POLES-JRC ENGAGE,1.076863845488579,1.2901847791111425,R10INDIA+
143,ENGAGE-INDCi2030-600f-COV-NDCp,POLES-JRC ENGAGE,1.1475978054396057,1.3324376868212582,R10INDIA+
144,ENGAGE-INDCi2030-600f-NDCp,POLES-JRC ENGAGE,1.141694769667105,1.3796204317397907,R10INDIA+
145,ENGAGE-INDCi2030-700f,POLES-JRC ENGAGE,1.1216107867262322,1.3324872590144863,R10INDIA+
146,ENGAGE-INDCi2030-800f,POLES-JRC ENGAGE,1.073264147245421,1.3183935404588136,R10INDIA+
147,ENGAGE-INDCi2030-900,POLES-JRC ENGAGE,1.1151450490282058,1.3221811525465523,R10INDIA+
148,ENGAGE-INDCi2030-900f,POLES-JRC ENGAGE,1.2264468559058948,1.2151243301828143,R10INDIA+
149,ENGAGE-NPi2020-1000f,POLES-JRC ENGAGE,0.8432989048408537,1.0645797631447143,R10INDIA+
150,ENGAGE-NPi2020-1000f-COV,POLES-JRC ENGAGE,0.7999997868180382,0.9831037116424663,R10INDIA+
151,ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.7820690269678936,1.0039601228391597,R10INDIA+
152,ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.8904067125670048,1.1030014332121576,R10INDIA+
153,NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,1.4825851744432255,1.860826901161491,R10INDIA+
154,RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,1.9737578081510563,2.22822978253433,R10INDIA+
155,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,1.9702329704126542,2.2275730330778307,R10INDIA+
156,RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,2.0326050988349618,2.32158133430877,R10INDIA+
157,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,2.023939773276051,2.3166480595840264,R10INDIA+
158,RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,1.8444003207290396,2.34833590143043,R10INDIA+
159,RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,1.8449188390820197,2.348767606430849,R10INDIA+
160,NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,1.38267346192623,1.8911573627978409,R10INDIA+
161,NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,1.4732039169243696,1.941374644655867,R10INDIA+
162,NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,1.140168382190562,1.5996557146947654,R10INDIA+
163,NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,1.5956521117111397,2.304580469025945,R10INDIA+
164,ENGAGE-INDCi2030-1000,WITCH 5.0,0.5131991008546632,0.685075279595506,R10INDIA+
165,ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.5095790779768578,0.6825800202649736,R10INDIA+
166,ENGAGE-INDCi2030-1000f,WITCH 5.0,0.5043730654836124,0.6697866652938467,R10INDIA+
167,ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.5026976737602333,0.6638156616946906,R10INDIA+
168,ENGAGE-INDCi2030-1200,WITCH 5.0,0.5016466519678611,0.6638296198770258,R10INDIA+
169,ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.5027549327500631,0.6624939233414489,R10INDIA+
170,ENGAGE-INDCi2030-1200f,WITCH 5.0,0.49856465518199744,0.6606490923395151,R10INDIA+
171,ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.495858703263911,0.6574658884961357,R10INDIA+
172,ENGAGE-INDCi2030-1400,WITCH 5.0,0.4966270347713859,0.6564551464374957,R10INDIA+
173,ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.49465473992087944,0.6533905250988331,R10INDIA+
174,ENGAGE-INDCi2030-1400f,WITCH 5.0,0.49363045409139716,0.6532513960343586,R10INDIA+
175,ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.4926070538084737,0.6525590792471886,R10INDIA+
176,ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.4949484604761648,0.6600932049888133,R10INDIA+
177,ENGAGE-INDCi2030-500f,WITCH 5.0,0.5412449218460833,0.7027872580227887,R10INDIA+
178,ENGAGE-INDCi2030-600f,WITCH 5.0,0.5353576584862321,0.7001789243256763,R10INDIA+
179,ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.5307906918249976,0.6922872570184018,R10INDIA+
180,ENGAGE-INDCi2030-700f,WITCH 5.0,0.5256769506055592,0.688426348698053,R10INDIA+
181,ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.5210434966292966,0.6844141003427742,R10INDIA+
182,ENGAGE-INDCi2030-800,WITCH 5.0,0.5193496501735668,0.7051068455076837,R10INDIA+
183,ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.5154603488859372,0.7006731916021651,R10INDIA+
184,ENGAGE-INDCi2030-800f,WITCH 5.0,0.5185592069717332,0.6839645592022022,R10INDIA+
185,ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.5157513022075283,0.6828044907036728,R10INDIA+
186,ENGAGE-INDCi2030-900,WITCH 5.0,0.5175067941352266,0.6980144727814772,R10INDIA+
187,ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.5079962374570944,0.6892392417556119,R10INDIA+
188,ENGAGE-INDCi2030-900f,WITCH 5.0,0.5118198397877637,0.6850141220476531,R10INDIA+
189,ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.5103263259439106,0.6856242453637728,R10INDIA+
190,ENGAGE-INDCi2030-1000,IMAGE 3.0,0.46814657505713825,0.7442667250287844,R10AFRICA
191,ENGAGE-INDCi2030-1000f,IMAGE 3.0,0.4889448222277804,0.6938544243096687,R10AFRICA
192,ENGAGE-INDCi2030-1200,IMAGE 3.0,0.4469733644292688,0.693030037492908,R10AFRICA
193,ENGAGE-INDCi2030-1200f,IMAGE 3.0,0.45783588859563906,0.698985098684693,R10AFRICA
194,ENGAGE-INDCi2030-1400f,IMAGE 3.0,0.4673447411565511,0.7097047758914228,R10AFRICA
195,ENGAGE-INDCi2030-800f,IMAGE 3.0,0.4976180814605872,0.7338843139287154,R10AFRICA
196,ENGAGE-NPi2020-1000,IMAGE 3.0,0.4572899873909251,0.7251443276163603,R10AFRICA
197,ENGAGE-NPi2020-1200,IMAGE 3.0,0.45203458752360437,0.7099569463803265,R10AFRICA
198,ENGAGE-NPi2020-1400,IMAGE 3.0,0.4634490948806849,0.7340530870009914,R10AFRICA
199,ENGAGE-NPi2020-1400f,IMAGE 3.0,0.4683533832638989,0.7312609194238661,R10AFRICA
200,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.5157145857142371,0.9278839957219815,R10AFRICA
201,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.6789791606785227,1.0523416776401497,R10AFRICA
202,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.6246111250089781,1.0779438884463792,R10AFRICA
203,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.5120430741078894,0.9366648408412023,R10AFRICA
204,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.48524374647947727,0.9109446586672887,R10AFRICA
205,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.6387194209930918,1.0333975611124266,R10AFRICA
206,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.6078617351337801,1.072824750197338,R10AFRICA
207,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,0.7499193759135643,1.2038142199862774,R10AFRICA
208,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.8389321939211253,1.307152118417554,R10AFRICA
209,SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,0.5967873819707641,1.0050368517017392,R10AFRICA
210,SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,0.5413432981105024,0.9402447898617268,R10AFRICA
211,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,0.6483187484162775,1.0527256627518944,R10AFRICA
212,SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,0.7367749220807221,1.1462905648213864,R10AFRICA
213,NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,0.7290463497706235,1.2070094301438532,R10AFRICA
214,NAVIGATE Demand-1.5°C-tec_u,IMAGE 3.3,0.6956281520723125,1.1702536800877255,R10AFRICA
215,NAVIGATE Demand-2.0°C-ele_u,IMAGE 3.3,0.7052558632332308,1.19972053782624,R10AFRICA
216,NAVIGATE Demand-2.0°C-ref,IMAGE 3.3,0.6705877545124088,1.1750259863524337,R10AFRICA
217,NAVIGATE Demand-2.0°C-tec_u,IMAGE 3.3,0.6685111560951014,1.1669008170635136,R10AFRICA
218,NGFS Phase 5-Below 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.5759764362267313,0.8928530795260856,R10AFRICA
