,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
47,ENGAGE-INDCi2030-600f-COV,POLES-JRC ENGAGE,0.017795729390731096,0.03833642865770909,1,R10LATIN_AM
48,ENGAGE-INDCi2030-600f-COV-NDCp,POLES-JRC ENGAGE,0.01779115708072415,0.03817678630439553,1,R10LATIN_AM
49,ENGAGE-INDCi2030-600f-NDCp,POLES-JRC ENGAGE,0.0178389422029534,0.03909570107827026,1,R10LATIN_AM
50,ENGAGE-INDCi2030-700f,POLES-JRC ENGAGE,0.017813958862000434,0.03921538801668678,1,R10LATIN_AM
51,ENGAGE-INDCi2030-800f,POLES-JRC ENGAGE,0.017838254862233394,0.038995827483217116,1,R10LATIN_AM
52,ENGAGE-INDCi2030-900,POLES-JRC ENGAGE,0.017735811210574992,0.04310666290761023,0,R10LATIN_AM
53,ENGAGE-INDCi2030-900f,POLES-JRC ENGAGE,0.01781088077095011,0.03766346232407597,1,R10LATIN_AM
54,ENGAGE-NPi2020-1000f,POLES-JRC ENGAGE,0.040112815921966916,0.07335276256281031,1,R10LATIN_AM
55,ENGAGE-NPi2020-1000f-COV,POLES-JRC ENGAGE,0.04034612326983644,0.07440977305264573,0,R10LATIN_AM
56,ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.040468529686753796,0.07431426257694562,1,R10LATIN_AM
57,ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.03973779684826195,0.07175305174797031,1,R10LATIN_AM
58,NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,0.02162471273342781,0.037357568457675794,0,R10LATIN_AM
59,RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.018037823963459876,0.05398986706688258,1,R10LATIN_AM
60,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.016159987141548482,0.052613993032375905,1,R10LATIN_AM
61,RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,0.037333044741297616,0.09052586530772022,1,R10LATIN_AM
62,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.036594916375691566,0.08141791052134906,1,R10LATIN_AM
63,RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.01430739390544894,0.021082387767116073,1,R10LATIN_AM
64,RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.01453024743644482,0.021000740544255603,1,R10LATIN_AM
65,NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,0.018886886055778485,0.04209629244694174,0,R10LATIN_AM
66,NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,0.007543887847481445,0.02513240556581625,0,R10LATIN_AM
67,NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,0.01560107837443142,0.02616640650653429,1,R10LATIN_AM
68,NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,0.027344029645436085,0.0379909063926423,1,R10LATIN_AM
69,ENGAGE-INDCi2030-1000,WITCH 5.0,0.0634383930058065,0.1355968878662837,1,R10LATIN_AM
70,ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.06425721343926277,0.13870429957434688,1,R10LATIN_AM
71,ENGAGE-INDCi2030-1000f,WITCH 5.0,0.05990540056903365,0.13493031551426876,1,R10LATIN_AM
72,ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.060955124762075485,0.1454437969351347,1,R10LATIN_AM
73,ENGAGE-INDCi2030-1200,WITCH 5.0,0.05798720791410289,0.12828323478173292,1,R10LATIN_AM
74,ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.05958155561043105,0.13744441818265413,1,R10LATIN_AM
75,ENGAGE-INDCi2030-1200f,WITCH 5.0,0.058356916807445314,0.13513818467512811,1,R10LATIN_AM
76,ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.05932276950932053,0.14557329952849946,1,R10LATIN_AM
77,ENGAGE-INDCi2030-1400,WITCH 5.0,0.05740133192808555,0.1353871916583595,1,R10LATIN_AM
78,ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.058478795367178205,0.1456521744192955,1,R10LATIN_AM
79,ENGAGE-INDCi2030-1400f,WITCH 5.0,0.057453008277640716,0.1354151917796686,1,R10LATIN_AM
80,ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.05843244041691836,0.1451504879666678,1,R10LATIN_AM
81,ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.05790923889339744,0.1444269907093016,1,R10LATIN_AM
82,ENGAGE-INDCi2030-500f,WITCH 5.0,0.07023968257677121,0.1327414275815671,1,R10LATIN_AM
83,ENGAGE-INDCi2030-600f,WITCH 5.0,0.06957036353802576,0.1339960474514817,1,R10LATIN_AM
84,ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.06989378896977,0.1451221124998489,1,R10LATIN_AM
85,ENGAGE-INDCi2030-700f,WITCH 5.0,0.06751675222996384,0.1343646107248206,1,R10LATIN_AM
86,ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.06611948512652571,0.1452460603314067,1,R10LATIN_AM
87,ENGAGE-INDCi2030-800,WITCH 5.0,0.06546190359091236,0.1311262239503092,1,R10LATIN_AM
88,ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.0646630074007351,0.1368090224858402,1,R10LATIN_AM
89,ENGAGE-INDCi2030-800f,WITCH 5.0,0.06355978710513638,0.13462022187272976,1,R10LATIN_AM
90,ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.06392233694959554,0.14534741564561032,1,R10LATIN_AM
91,ENGAGE-INDCi2030-900,WITCH 5.0,0.06300110756409644,0.12818637355951484,1,R10LATIN_AM
92,ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.06775888726802043,0.13897834978637785,1,R10LATIN_AM
93,ENGAGE-INDCi2030-900f,WITCH 5.0,0.06255335569161019,0.1347900162033286,1,R10LATIN_AM
94,ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.061211560818001665,0.145436148979953,1,R10LATIN_AM
95,ENGAGE-INDCi2030-1000,IMAGE 3.0,-0.0014355706786704087,-0.0018328051896350714,1,R10INDIA+
96,ENGAGE-INDCi2030-1000f,IMAGE 3.0,-0.0015567927494751915,-0.0018753619371717975,1,R10INDIA+
97,ENGAGE-INDCi2030-1200,IMAGE 3.0,-0.001506137827104792,-0.0018499387907997059,1,R10INDIA+
98,ENGAGE-INDCi2030-1200f,IMAGE 3.0,-0.001455198611724523,-0.0018206481271987249,1,R10INDIA+
99,ENGAGE-INDCi2030-1400f,IMAGE 3.0,-0.0014663383677688685,-0.0018665616172737626,1,R10INDIA+
100,ENGAGE-INDCi2030-800f,IMAGE 3.0,-0.0014997103354865149,-0.001920323799233098,1,R10INDIA+
101,ENGAGE-NPi2020-1000,IMAGE 3.0,-0.0014229977422052925,-0.0017741254563000686,1,R10INDIA+
102,ENGAGE-NPi2020-1200,IMAGE 3.0,-0.0014915545329268476,-0.0018089581033938068,1,R10INDIA+
103,ENGAGE-NPi2020-1400,IMAGE 3.0,-0.0014673622912193401,-0.00181649632558549,1,R10INDIA+
104,ENGAGE-NPi2020-1400f,IMAGE 3.0,-0.001502760676075146,-0.001780236008561538,1,R10INDIA+
105,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.006807087556917668,0.06553480370833416,1,R10INDIA+
106,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.006334636081279696,0.0164725921709494,1,R10INDIA+
107,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.004418753960822447,0.04450237951051021,1,R10INDIA+
108,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.0011546573853897513,0.02070969304267642,1,R10INDIA+
109,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.006311809392062703,0.016902096507187422,1,R10INDIA+
110,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.006311809392062703,0.017186149693894412,1,R10INDIA+
111,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.0010456231997080373,0.021858534152868536,1,R10INDIA+
112,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,-0.005766768948727019,-0.00892049161466689,1,R10INDIA+
113,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.01041664456005735,0.008777263161732524,1,R10INDIA+
114,SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,-0.005507584549084774,-0.009497989250401198,1,R10INDIA+
115,SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,-0.005098163394963884,-0.005560073996245252,1,R10INDIA+
116,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,-0.005467128387565384,-0.00611172309418484,1,R10INDIA+
117,SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,-0.004740227355935267,-0.006245248352996252,1,R10INDIA+
118,NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,-0.0026623076756131098,-0.002395472878130578,1,R10INDIA+
119,NAVIGATE Demand-1.5°C-tec_u,IMAGE 3.3,-0.0022790440396669026,-0.0025197191613409026,1,R10INDIA+
120,NAVIGATE Demand-2.0°C-ele_u,IMAGE 3.3,-0.0074591025557149,-0.008550153401400792,1,R10INDIA+
121,NAVIGATE Demand-2.0°C-ref,IMAGE 3.3,-0.007093137278500389,-0.008308910034668493,1,R10INDIA+
122,NAVIGATE Demand-2.0°C-tec_u,IMAGE 3.3,-0.006873798089402666,-0.008308620066680941,1,R10INDIA+
123,NGFS Phase 5-Below 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.06561587815449604,0.08900548047420287,1,R10INDIA+
124,NGFS Phase 5-Delayed Transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.06464542146249375,0.08938287892845065,1,R10INDIA+
125,NGFS Phase 5-Low Demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.07771407717234036,0.08249520868062304,1,R10INDIA+
126,NGFS Phase 5-Nationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.059536763919096514,0.07016335150878222,1,R10INDIA+
127,NGFS Phase 5-Net-Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,0.08534158443078776,0.09990599568589692,1,R10INDIA+
128,ENGAGE-INDCi2030-1000,POLES-JRC ENGAGE,-0.009041930467938719,-0.006820847948024816,1,R10INDIA+
129,ENGAGE-INDCi2030-1000-COV,POLES-JRC ENGAGE,-0.008512471005331534,-0.0076805269441550805,1,R10INDIA+
130,ENGAGE-INDCi2030-1000-COV-NDCp,POLES-JRC ENGAGE,-0.008479566409229422,-0.007607007826272771,1,R10INDIA+
131,ENGAGE-INDCi2030-1000-NDCp,POLES-JRC ENGAGE,-0.009102213470639553,-0.007804123440574684,1,R10INDIA+
132,ENGAGE-INDCi2030-1000f,POLES-JRC ENGAGE,-0.008576898650159898,-0.008760941558109747,1,R10INDIA+
133,ENGAGE-INDCi2030-1000f-COV,POLES-JRC ENGAGE,-0.00794667536120483,-0.008731394270684423,1,R10INDIA+
134,ENGAGE-INDCi2030-1000f-COV-NDCp,POLES-JRC ENGAGE,-0.007738329103718633,-0.008730294974923003,1,R10INDIA+
135,ENGAGE-INDCi2030-1000f-NDCp,POLES-JRC ENGAGE,-0.008648486572785635,-0.008762753910581261,1,R10INDIA+
136,ENGAGE-INDCi2030-1200,POLES-JRC ENGAGE,-0.008350146616343895,-0.008358109082940157,1,R10INDIA+
137,ENGAGE-INDCi2030-1200f,POLES-JRC ENGAGE,-0.007340101786468517,-0.008724337980323932,1,R10INDIA+
138,ENGAGE-INDCi2030-300f,POLES-JRC ENGAGE,-0.009178599670710413,-0.008460343588752639,1,R10INDIA+
139,ENGAGE-INDCi2030-400f,POLES-JRC ENGAGE,-0.009205042190377127,-0.008724709364027111,1,R10INDIA+
140,ENGAGE-INDCi2030-500f,POLES-JRC ENGAGE,-0.009078207228065738,-0.00869245840324262,1,R10INDIA+
141,ENGAGE-INDCi2030-600f,POLES-JRC ENGAGE,-0.009126115725776457,-0.008729611628909145,1,R10INDIA+
142,ENGAGE-INDCi2030-600f-COV,POLES-JRC ENGAGE,-0.009065223653802412,-0.008747185505743799,1,R10INDIA+
143,ENGAGE-INDCi2030-600f-COV-NDCp,POLES-JRC ENGAGE,-0.009238852962714983,-0.008741510762759142,1,R10INDIA+
144,ENGAGE-INDCi2030-600f-NDCp,POLES-JRC ENGAGE,-0.009100356552123628,-0.008471826772855073,1,R10INDIA+
