model,scenario,between_region_gini,carbon_budget_fairness,fairness_score
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.23998629455932818,0.6974613970974132,0.9374476916567414
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.23998629455932818,0.7072342867641535,0.9472205813234816
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.23998629455932818,0.6993267499569037,0.9393130445162319
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.23998629455932818,0.704249939371344,0.9442362339306721
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.23998629455932818,0.704249939371344,0.9442362339306721
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.23998629455932818,0.7005428348143817,0.9405291293737099
IMAGE 3.0,ENGAGE-NPi2020-1000,0.23998629455932818,0.9543732342069473,1.1943595287662756
IMAGE 3.0,ENGAGE-NPi2020-1200,0.23998629455932818,0.9740345351966806,1.214020829756009
IMAGE 3.0,ENGAGE-NPi2020-1400,0.23998629455932818,1.0,1.239986294559328
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.23998629455932818,0.9536686168743624,1.1936549114336907
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.2008440249094788,0.7265470981374084,0.9273911230468872
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.408978421311147,0.6735203334687161,1.082498754779863
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.2008440249094788,0.6872343971718965,0.8880784220813753
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.2008440249094788,0.807167998491902,1.0080120234013807
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.2008440249094788,0.7123321045197709,0.9131761294292497
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.408978421311147,0.7785017527264542,1.187480174037601
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.2008440249094788,0.7998935121080034,1.0007375370174822
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.5068226382599164,0.876177996272263,1.3830006345321793
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.408978421311147,0.5841982312296059,0.9931766525407528
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.408978421311147,0.8200287681375548,1.2290071894487018
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.408978421311147,0.6362145017532408,1.0451929230643877
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.408978421311147,0.5785196320847247,0.9874980533958717
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.408978421311147,0.6963288740510127,1.1053072953621597
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.5103957935701492,0.35032687374973925,0.8607226673198884
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.5103957935701492,0.3516496104139141,0.8620454039840633
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.5103957935701492,0.4702201122033209,0.98061590577347
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.5103957935701492,0.401991230058718,0.9123870236288671
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.5103957935701492,0.4480221362427172,0.9584179298128663
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.0025111684698720703,0.5449261823914321,0.5474373508613042
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.003157743532200996,0.5701895451304253,0.5733472886626263
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.0,0.3790227230301433,0.3790227230301433
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.0017272876855759622,0.5520411160648189,0.5537684037503948
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.0037388011893827434,0.3418684000421528,0.34560720123153554
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.8331439665946831,0.4199963177239168,1.2531402843186
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.8331439665946831,0.15395839524702137,0.9871023618417045
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.7315025770237021,0.24440139016395168,0.9759039671876538
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.8331439665946831,0.4199963177239168,1.2531402843186
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.8331439665946831,0.1539571687334146,0.9871011353280977
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.7315025770237021,0.2444000616525666,0.9759026386762688
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.7315025770237021,0.48567418540637713,1.2171767624300793
