model,scenario,final_energy_demand,energy_diversity,gini_coefficient,electricity_price,resilience_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.14832593873150457,0.2779913267284403,0.6102275508720582,0.4499775309019216,1.4865223472339246,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.13684007860415986,0.2963498340671244,0.6102275508720582,0.5265154637441873,1.5699329272875298,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.1281291997040001,0.27189045453091853,0.6102275508720582,0.45663245306869443,1.4668796581756713,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.1943723568039061,0.22978105965202025,0.6102275508720582,0.470756663306313,1.5051376306342974,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.18334313905640953,0.3447504038972162,0.6102275508720582,0.496056277982986,1.63437737180867,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.15010009342620262,0.32849563442215135,0.6102275508720582,0.5250666048045417,1.613889883524954,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.13785601292147373,0.3811754836296542,0.6102275508720582,0.5553880393145669,1.684647086737753,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.20962944040199766,0.2039178811761183,0.6672872691252503,0.46727855863931606,1.5481131493426823,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.18419042227306,0.3230285008837598,0.6672872691252503,0.4921860289778371,1.6666922212599071,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.2089039553391492,0.3346283168105235,0.6672872691252503,0.49295887441166475,1.7037784156865876,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.218955796732038,0.21270851064320379,0.6672872691252503,0.4679239309918201,1.5668755074923122,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1961714877402493,0.21072314339869608,0.6672872691252503,0.4877390032231997,1.5619209034873953,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.2268047143052172,0.26265114393931316,0.6672872691252503,0.48743019598647397,1.6441733233562545,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.21755722654405377,0.3126027992857835,0.6672872691252503,0.5124844836602503,1.7099317786153376,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.19771832942330103,0.6392529227295319,0.6672872691252503,0.5536568508811036,2.057915372159187,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.2004282252626826,0.6052329897722971,0.6672872691252503,0.5575612240436805,2.0305097082039105,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.2020565831318545,0.5873972688974283,0.6672872691252503,0.5707815085431622,2.027522629697695,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.2027681747604908,0.6179357983778118,0.6672872691252503,0.5480290480819929,2.0360202903455455,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.20505130816313338,0.5734163599185335,0.6672872691252503,0.5434992836491083,1.9892542208560253,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.202617668010831,0.588419463690109,0.6672872691252503,0.568161471819203,2.0264858726453934,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.19575800260755175,0.7082284595095694,0.6672872691252503,0.5777292493986562,2.1490029806410273,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.19841498821904807,0.6836615449426455,0.6672872691252503,0.5676893910119847,2.1170531932989283,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.20239361290269348,0.6462894850312781,0.6672872691252503,0.5554989692257978,2.07146933628502,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.20297067723054668,0.6181281712128525,0.6672872691252503,0.6005462760677858,2.0889323936364352,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.20442105470069194,0.6295418579518174,0.6672872691252503,0.5485426167557849,2.0497927985335447,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.20636666157459482,0.6024522746475597,0.6672872691252503,0.6220080016973188,2.0981142070447234,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.20571137282781657,0.6216331962844291,0.6672872691252503,0.5432282304061313,2.037860068643627,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.2092691204115051,0.5292621425614792,0.6672872691252503,0.5687789702993148,1.9745975023975495,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.21031745183521364,0.5262778485976977,0.6672872691252503,0.5440365930792648,1.9479191626374264,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.20581567523863697,0.5612784917418326,0.6672872691252503,0.6417547566318454,2.0761361927375654,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.21279412449204166,0.5773621199665906,0.6672872691252503,0.5642901095056843,2.021733623089567,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.21061988627057227,0.5814405271180169,0.6672872691252503,0.5493054765833416,2.008653159097181,R10LATIN_AM
