,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
47,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,-0.009092465644711223,-0.009092465644711223,1,R10LATIN_AM
48,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,-0.009092465644711223,-0.009092465644711223,1,R10LATIN_AM
49,CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
50,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
51,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
52,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,-0.010741434192440391,-0.010741434192440391,1,R10LATIN_AM
53,CO_Bridge,REMIND-MAgPIE 1.7-3.0,-0.010129264849198627,-0.010129264849198627,1,R10LATIN_AM
54,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,-0.010741434192440391,-0.010741434192440391,1,R10LATIN_AM
55,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
56,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.010129264849198627,-0.010129264849198627,1,R10LATIN_AM
57,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,-0.010129264849198627,-0.010129264849198627,1,R10LATIN_AM
58,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
59,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,-0.010741434192440391,-0.010741434192440391,1,R10LATIN_AM
60,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
61,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.010129264849198627,-0.010129264849198627,1,R10LATIN_AM
62,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,-0.010129264849198627,-0.010129264849198627,1,R10LATIN_AM
