,model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score,cluster,model_family
0,IMAGE 3.2,SSP1_SPA1_19I_D,0.0854867913671774,0.5085691700292414,0.0,0.043894878173564,0.7998981354646222,0.6854073472405063,0.0354535909990505,1,IMAGE
1,IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1339767220974563,0.0017485888292254,0.6974264518299764,0.0573465915348498,0.3342627454108299,0.4978771142087693,0.2064778589635689,3,IMAGE
2,IMAGE 3.2,SSP1_SPA1_19I_LI,0.0396606654121095,0.4990249670036118,0.0,0.0,0.8655425908515165,0.6067494039831924,0.1777186668430398,1,IMAGE
3,IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.2796204394246859,0.5002524275198938,0.0,0.0264223544690227,0.9634807903803196,0.8206422725380337,0.2480881623563715,1,IMAGE
4,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3368874645230711,0.4971740894966758,0.0,0.0575150795164901,0.5288815027298099,0.6404182401219973,0.3938671393061871,1,IMAGE
5,IMAGE 3.2,SSP1_SPA1_19I_RE,0.2152721201900839,0.5037745956066987,0.0,0.0677843902118022,0.6862394850567529,0.6632807394486904,0.0780873334800911,1,IMAGE
6,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.311840210945197,0.0,0.894894147846657,0.0920814835281138,0.3020479104002158,0.5214653333173701,0.2532887293692042,3,IMAGE
7,IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.1627449664288211,0.5149847102882783,0.0,0.3862421305781242,0.4903270164880757,0.7100173644554975,0.1527598909713077,1,IMAGE
8,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3333513029960385,0.5862881791290702,0.0,0.3561911818564001,0.4467365458613808,0.6312584325522533,0.357542864525085,1,IMAGE
9,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.4169282108910608,0.5129302461190379,0.0,0.4025747087338502,0.3821930663411746,0.7419546879536966,0.1360180210278004,1,IMAGE
10,IMAGE 3.2,SSP2_SPA2_19I_D,0.1874027034457225,0.5262650843271183,0.0,0.4013739320170472,0.8631852120426386,0.8165127683245506,0.1643822053076431,1,IMAGE
11,IMAGE 3.2,SSP2_SPA2_19I_LI,0.1198164053156987,0.5924521529374394,0.0,0.341020045441926,0.8685569028775204,0.8120697763777893,0.3780376203274512,1,IMAGE
12,IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.4411412530098449,0.598147794410177,0.0,0.4045010489923935,0.7771200658526457,0.7735097635703102,0.3363372745670512,1,IMAGE
13,IMAGE 3.2,SSP2_SPA2_19I_RE,0.451256916231042,0.5232761830421356,0.0,0.4113479197479143,0.7512740457255443,0.770368567734104,0.211218910577558,1,IMAGE
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.0990178540974925,0.8928151603060207,0.0,0.6367465884943618,0.548793751713838,0.724591827382704,0.5858454462671621,1,MESSAGE
