model,scenario,carbon_budget_share,region
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.92375925927442,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.8986630635673969,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.9845948514851206,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.6450306673582411,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.9164927312943587,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.8970960970415764,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.49380392273653195,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.4761707302193742,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.48894125677517786,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.45588888099254765,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.7785406114005091,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.7785406114005091,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.7785406114005091,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.7332304130428187,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.7587526718908247,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.7785406114005091,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.7332304130428187,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.7587526718908247,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.8867232188031275,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.4856368778863618,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.498130795446192,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.42936862102457174,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.5089124757986677,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.46941549231354207,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.515987078409259,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.4944968018115005,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.4288949418713067,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.5200255806793175,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.44585125936432457,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.4676884076880175,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.48882979601947585,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.49149002340440906,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.5332956183983044,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.6412789073667123,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.5885579589178286,R10LATIN_AM
WITCH 5.0,EN_INDCi2030_500f,0.5648184780614584,R10LATIN_AM
WITCH 5.0,EN_NPi2020_400f,0.3979178985163627,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450,0.31769295751971555,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450f,0.4027492477209039,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500,0.36425982245439703,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500f,0.4075045475605437,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D,0.6359205119163152,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.4858437797286937,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LI,0.6184335485426747,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.6183680878694914,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.48904284848991614,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE,0.6153141671726832,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.4865710510719492,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.495686747371306,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.4931766752767164,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.4904133766782107,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_D,0.5593855057929319,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LI,0.5766282803546582,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.5087848740496982,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_RE,0.49592481725900855,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.9234897228882798,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.9319511643926649,R10INDIA+
