model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score,cluster
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.6740603081215205,0.6964891274526038,0.6755607273140191,0.7730188325336064,0.2633703626334395,0.6254294818468522,0.2103507906897031,0
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3333513029960385,0.5862881791290702,0.0,0.3561911818564001,0.4467365458613808,0.6312584325522533,0.357542864525085,1
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7727894557262519,0.7054973281446667,0.183281458140422,0.8859019774627245,0.6188683237991983,0.8022436343084504,0.2007981089463237,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.0734382845574958,0.7117990094806229,0.3090803384661599,0.6966997100525875,0.1647208671816986,0.2907822503169639,0.3849045873148467,3
