model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.0,0.0583744959603702,0.15875186642228817,0.21712636238265837,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.2987849514220805,0.2661052047979249,0.15875186642228709,0.7236420226422925,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.1192389408790412,0.044548173687671395,0.33084162886253743,0.49462874342925,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.24037809460280082,0.07657013025369225,0.3320185972328327,0.6489668220893259,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.389479369311624,0.35927068206277696,0.3320185972328327,1.0807686486072337,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.06818864884200412,0.13953559750290365,0.15887446738082706,0.3665987137257348,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.3026249331213556,0.38915062338852074,0.15875186642228709,0.8505274229321634,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.25480802768450606,0.15569875035290484,0.0,0.41050677803741087,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.38490736937192493,0.3467161174760218,0.30159442402497616,1.033217910872923,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.2621011036256054,0.28020988924154544,0.0,0.5423109928671508,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.4373323588507423,0.05004651313853997,0.0,0.48737887198928226,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.47857170764367774,0.11599928054592605,0.30159442402497616,0.8961654122145799,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.3575022382605313,0.06056729549278497,0.30159442402497616,0.7196639577782924,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.509521185206252,0.12657742748373743,0.0,0.6360986126899895,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.2176359947319364,0.35149435055698663,0.5818002679588337,1.1509306132477568,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.2070441857041751,0.25686722648168714,0.5779524409744851,1.0418638531603472,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.20503122933483628,0.13607133599048907,0.5882498020440373,0.9293523673693627,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.12165869790398959,0.3153483876001678,0.5818002679588337,1.0188073534629911,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.12698874502012458,0.169602581311656,0.5779524409744851,0.8745437673062657,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.19916448038109638,0.12336350969266414,0.577953391676367,0.9004813817501275,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.16589823377292404,0.14024191024521895,0.6671993956645235,0.9733395396826665,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.07954182807734012,0.18469444610174526,0.6488758535663658,0.9131121277454511,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0,0.2375227477636148,0.6488758535663658,0.8863986013299806,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.4748577150942779,0.16753639145884597,0.7876568559589113,1.430050962512035,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0,0.1998276386540564,0.6488758535663658,0.8487034922204222,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.36685734492241284,0.09779734784534945,0.7358901252110862,1.2005448179788485,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0,0.18071022633283162,0.6461471498512281,0.8268573761840597,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.19565223524111638,0.10320167700972448,0.702071126627974,1.000925038878815,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.24244878328462804,0.20025247450350359,0.702071126627974,1.1447723844161057,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.16580946461748608,0.1739457702093616,0.6741937501027314,1.013948984929579,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.14331626077463522,0.11491947417887338,0.702071126627974,0.9603068615814826,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.1441475776499943,0.11610521380878122,0.702071126627974,0.9623239180867496,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.22216364592276472,0.11063030688196267,0.702071126627974,1.0348650794327015,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.19528643438431426,0.10916779723974238,0.702071126627974,1.0065253582520306,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.010062087117612124,0.21303707887014348,0.6368199369972715,0.859919102985027,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.0562471616175501,0.22277539941965885,0.6368199369972715,0.9158424980344804,R10LATIN_AM
