model,scenario,electricity_price,region
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.7085783653846143,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.9885706730769215,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,1.2097245192307717,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.9685552884615412,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.9945475961538435,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,3.4672427884615438,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,3.744935096153853,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,4.463529807692304,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,5.862191346153843,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,2.9986192307692257,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,2.8139038461538455,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,2.691434615384619,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,3.230026923076924,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,3.003926923076925,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,2.6023653846153856,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,1.5422038461538428,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,1.4153346153846194,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,2.564519230769232,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,3.5656346153846172,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,3.3225653846153804,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,3.6318807692307686,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,2.9202730769230776,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,3.7089423076923076,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,2.7467038461538493,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,3.6202576923076926,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,1.974157692307692,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,2.633288461538463,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,1.6048192307692304,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,1.4051048076923074,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,2.1703591346153885,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,2.905151442307691,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.0905413461538469,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.9142951923076925,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,2.3832490384615372,R10LATIN_AM
WITCH 5.0,EN_INDCi2030_500f,-0.3204781832847381,R10LATIN_AM
WITCH 5.0,EN_NPi2020_400f,-0.8768012826552258,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450,-0.28349403331968226,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450f,-0.9054129842732506,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500,-0.5639691200487054,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500f,-0.9240039481675595,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D,6.701802720909452,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D_LB,9.533638412444507,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LI,5.317666869590205,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE,7.136855810758146,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,9.264100736171837,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE,6.622920222942465,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,10.560664946666382,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_D_LB,9.092414630473979,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,7.6069036643951655,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,8.276979469282825,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_D,7.477844917871028,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LI,8.905814377216227,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LIRE,7.754867165997791,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_RE,8.450501452052503,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,16.317367081662766,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,16.262838029886318,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,16.211511553559532,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,13.983822708090505,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,14.20476493889669,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,16.34835100633142,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,14.81886195502119,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,13.683278297679879,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,12.617806854355821,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,30.35581870959676,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,12.400685837215692,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,20.4866305464677,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,12.069556166292175,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,14.714708151840808,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,13.602299391503196,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,20.78025598511656,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,14.948133087233016,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,12.698758793526961,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,12.901637966029783,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,13.380746417573539,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,11.725586300004734,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,11.35617792165632,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,16.553363693853782,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,10.003743124085885,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,10.084718076101739,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,10.553446915235968,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,10.900529735639035,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,12.37851847267392,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,11.843833585033016,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,11.300355657502672,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,10.663908294061907,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,12.311607716353846,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,12.091457802507692,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,4.01189711538462,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,5.208035576923081,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,4.729412500000002,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,6.299250961538462,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,4.200725000000002,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,4.255763461538464,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_Bridge,3.4503788461538427,R10INDIA+
