Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
REMIND-MAgPIE 1.7-3.0,EMF33_Baseline,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.200750961782636,1.228841286325032,1.263213011421399,1.297514472289888,1.330681308208375,1.362805172757163,1.393576104729052,1.422820897686354,1.452662526426896,1.4832638096896291,1.513255332339439,1.5451268982568669,1.579008136527504,1.613338443984341,1.653104421841294,1.695460092118875,1.734010107190282,1.769904090109245,1.806134386583376,1.842490132794086,1.877033549833156,1.911313767786913,1.9471186423927864,1.9842121039019007,2.02326588852706,2.062903543467932,2.105751861266532,2.149430660743256,2.192064248101107,2.23149245443113,2.268214983629092,2.300825568193437,2.336106488522457,2.373793937795068,2.408963138514703,2.449088105839792,2.491865186943762,2.5351604327366912,2.578798801524989,2.6218441187980552,2.661077982529339,2.697883415456083,2.734019971695486,2.770656401982665,2.807913912706562,2.846587468612617,2.888206483894725,2.9322798002778283,2.977075815447845,3.018948186873502,3.057239341596595,3.091135466687514,3.128110703329198,3.166503898457399,3.20414791530732,3.238059768624857,3.278166921477717,3.313556119305194,3.354349991683327,3.398101239835708,3.442022610895936,3.480321796083812,3.516220578518141,3.549681514224286,3.584049744735972,3.617434504240735,3.650075625736688,3.685418247493565,3.723601972953074,3.759508331918627,3.795203794685352,3.832679041203624,3.872268208431261,3.9072644648096553,3.938529210930612,3.966927099545825,3.992434835298189,4.020352013988958,4.047415956214849,4.075259666403941,4.104330592436659
REMIND-MAgPIE 1.7-3.0,EMF33_Baseline,World,GDP|MER,billion US$2010/yr,78422.63957,,,,,91173.58492,,,,,104515.19,,,,,118307.3173,,,,,132421.7584,,,,,146875.5071,,,,,161147.8462,,,,,175002.2404,,,,,189314.8556,,,,,,,,,,224946.808,,,,,,,,,,263729.8963,,,,,,,,,,300638.7769,,,,,,,,,,344978.0598
REMIND-MAgPIE 1.7-3.0,EMF33_Baseline,World,Investment|Energy Supply,billion US$2010/yr,1445.86893,,,,,1311.44783,,,,,1753.1965,,,,,1766.64268,,,,,2205.20091,,,,,2334.06877,,,,,2856.53786,,,,,3107.6903,,,,,3292.3308,,,,,,,,,,3955.54489,,,,,,,,,,4731.528010000001,,,,,,,,,,4498.70091,,,,,,,,,,5107.571809999999
