model,scenario,resource_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.0,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,5.078939848516647,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.0,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.0,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.0,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,6.5169790101548575,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.0,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,3.7711143601142325,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,2.3947326695829916,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,2.3155794386991513,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,4.575563917269843,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,2.259464797988084,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,4.47887959038726,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,2.177228515384022,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,3.9010035036492665,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,2.339008398875679,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,4.566627609701467,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,4.466961540552758,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,4.332298989059726,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,4.202805746621494,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,2.0272274455922563,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.0,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0,R10LATIN_AM
