model,scenario,between_region_gini
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.32298383575025885
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.29451069034846405
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.3201325887202579
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.3200137356787398
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.2944377621787277
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.29487220758405713
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.29472350533607145
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.2959968730230654
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.2945886338654924
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.29533854916985863
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.2944896423061496
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.2949988935890664
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.32058565159383656
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.29433296586229785
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.3201323018153068
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.32215089674697134
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.3214378058537955
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.2871660760257593
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.28875952023721907
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.29449226108795196
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.2924429580083301
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.2914323659464729
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.2923679989097665
WITCH 5.0,EN_INDCi2030_500f,0.2591684131454232
WITCH 5.0,EN_NPi2020_400f,0.25772023658232435
WITCH 5.0,EN_NPi2020_450,0.2593629525671103
WITCH 5.0,EN_NPi2020_450f,0.25731034221236326
WITCH 5.0,EN_NPi2020_500,0.25957169461545704
WITCH 5.0,EN_NPi2020_500f,0.25693655403575555
