model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.11107764959413166,0.01582401887347708,0.1580969803259381,0.28499864879354686
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.22193278976159844,0.2090567358699208,0.1580969803259381,0.5890865059574574
IMAGE 3.2,SSP1_SPA1_19I_LI,0.15612805625952544,0.0,0.38182347797853083,0.5379515342380563
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.18474393689676702,0.09650384275075112,0.38182347797853083,0.6630712576260489
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.271752043398969,0.26869647569807215,0.38182347797853083,0.922271997075572
IMAGE 3.2,SSP1_SPA1_19I_RE,0.06682395386537078,0.13637273047551676,0.15760643096630805,0.3608031153071956
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.22533052393421688,0.288890565515955,0.1580969803259381,0.67231806977611
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.232819305553618,0.20477126442615548,0.055983281707149724,0.4935738516869232
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.28345223199391223,0.2664423945429634,0.307791385095332,0.8576860116322076
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.203397206562844,0.2044256619285407,0.055983281707149724,0.46380615019853444
IMAGE 3.2,SSP2_SPA2_19I_D,0.34307641619507395,0.1151790845801049,0.055983281707149724,0.5142387824823286
IMAGE 3.2,SSP2_SPA2_19I_LI,0.34805584489621977,0.23827926139954098,0.307791385095332,0.8941264913910927
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.3706204778424209,0.14156977792309236,0.307791385095332,0.8199816408608452
IMAGE 3.2,SSP2_SPA2_19I_RE,0.384406587053574,0.15672281654821044,0.05638687810130302,0.5975162817030875
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.4273491364250961,0.33614979093223557,0.500118030176307,1.2636169575336385
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.40793993022537073,0.2661967264483878,0.5005266857108372,1.1746633423845958
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.4477701956595042,0.2556038384975864,0.5011502911836097,1.2045243253407003
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.3345193193890813,0.2478153054577178,0.500118030176307,1.082452655023106
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.31430419713196456,0.17698993205304586,0.5005266857108372,0.9918208148958476
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.42427688912262834,0.20125219713610382,0.5005964700115024,1.1261255562702346
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.3454481449169569,0.17620827546383833,0.5505567256546523,1.0722131460354474
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.28599162646666126,0.14511847955747048,0.5416222336180009,0.9727323396421326
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.21183792237486496,0.11732541340248322,0.5371860522408548,0.8663493880182029
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.6574511738813433,0.3485592891655169,0.5993017572802758,1.6053122203271362
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.18095556628133092,0.09779406838322008,0.5368656590249172,0.8156152936894683
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.5344911498634054,0.274342487407759,0.5881753945203771,1.3970090317915416
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.14073620711874144,0.09836996626325155,0.5354716280120433,0.7745778013940363
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.3585265197400464,0.17569919700621137,0.5580668001734813,1.092292516919739
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.38986728798625975,0.16783047460044037,0.5473569376186137,1.1050547002053137
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.3485673434585536,0.2008248049211112,0.5635837799249879,1.1129759283046528
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.37836295744877485,0.19660818690531592,0.5511332163504528,1.1261043607045436
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.36742529799514384,0.17958401451943506,0.5547679034759143,1.1017772159904933
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.37506286337901434,0.17435408857301485,0.5575458706923815,1.1069628226444106
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.36342950524339124,0.18013841894345003,0.5581070664687144,1.1016749906555559
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.10703845235079454,0.09136475418375777,0.5297392431981813,0.7281424497327336
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.15923749171891946,0.10734715718388874,0.5296551726875084,0.7962398215903166
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.17349022305995196,0.1487011982855764,0.5192907631388541,0.8414821844843825
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.2655478529244658,0.10331163183952072,0.5356980699876001,0.9045575547515866
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.21080857923006904,0.057707648431424334,0.5357515591451104,0.8042677868066037
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.17201127875980926,0.060573448437042134,0.5328465735810431,0.7654313007778946
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.13026871313361812,0.07836596081689004,0.5298509747703032,0.7384856487208113
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.25849834099908386,0.11065183482341173,0.5371860522408548,0.9063362280633505
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.29272871704621234,0.11852455870898596,0.5369565678078653,0.9482098435630636
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.09002048441115557,0.08495202085102621,0.5277823250615788,0.7027548303237606
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.11596152946098226,0.08163872552059322,0.5191315686322728,0.7167318236138482
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.47953941440816217,0.21759069906038242,0.5429138882483396,1.2400440017168841
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.4145630475286529,0.1836594716433687,0.5623231267015839,1.1605456458736056
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.0569272848638896,0.196068862620893,0.10233641701591771,0.35533256450070033
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.37468773278062767,0.3549872810057867,0.10233641701591771,0.832011430802332
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.0,0.11962435625283138,0.10233641701591771,0.22196077326874908
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.17594700244050518,0.22644285772066147,0.10233641701591771,0.5047262771770843
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.050843505353205566,0.07111190025631979,0.10233641701591771,0.22429182262544306
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.044434223671400985,0.18899463567648847,0.10233641701591771,0.33576527636380715
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.010908850050242624,0.16103179932705164,0.10233641701591771,0.274277066393212
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.34548060225288585,0.3611148133941278,0.10233641701591771,0.8089318326629313
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.2200923768169938,0.20517215273448391,0.10233641701591771,0.5276009465673954
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.1801822199837793,0.29037209998267527,0.10233641701591771,0.5728907369823723
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.11025984419044109,0.21670438338390013,0.10233641701591771,0.42930064459025896
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.6710505461239891,0.5425500049146394,0.10233641701591771,1.3159369680545463
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.044434223671400985,0.18899463567648847,0.10233641701591771,0.33576527636380715
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.050843505353205566,0.07111190025631979,0.10233641701591771,0.22429182262544306
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.010374958660092644,0.13175088220589182,0.10233641701591771,0.24446225788190218
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.11025984419044109,0.08599256155083887,0.10233641701591771,0.29858882275719767
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.48404533200988337,0.45217847898824337,0.10233641701591771,1.0385602280140445
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.21951556978046863,0.19347692341487205,0.10233641701591771,0.5153289102112584
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.2854978400217411,0.3791489054053686,0.10233641701591771,0.7669831624430273
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.17182788762498072,0.3048233829878695,0.10233641701591771,0.5789876876287678
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.16921434949635966,0.4354983759847605,0.3288372385384224,0.9335499640195426
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.25341305492875027,0.5734089828463614,0.32886790657951653,1.1556899443546282
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.15356130152356437,0.3374130245929414,0.0,0.4909743261165058
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.2536022722598679,0.5880046068914148,0.0,0.8416068791512827
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.4430267544173656,0.5280148568690556,0.0,0.9710416112864212
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.41734015435604815,0.525878265002919,0.0,0.9432184193589672
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.3939484300072586,0.5196876186181051,0.0,0.9136360486253636
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,1.0,1.0,0.0,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.9464502614937731,0.95561784103327,0.0,1.9020681025270432
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.3659712311583361,0.509173461196609,0.0,0.8751446923549451
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.29919896884638053,0.4590749184966887,0.0,0.7582738873430692
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.2875771472785677,0.44248249000471845,0.0,0.7300596372832862
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.3506879641640985,0.5051298370714983,0.0,0.8558178012355968
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.08893701910061058,0.4155620978331875,0.0,0.504499116933798
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.08737623410174086,0.42027290896938535,0.0,0.5076491430711262
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.3627792807710958,0.6097409464836729,0.0,0.9725202272547687
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.08255778291491762,0.43167759475011647,0.0,0.5142353776650341
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.18038625087621651,0.5520156488909207,0.0,0.7324018997671372
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.08260831065124356,0.42775498193037464,0.0,0.5103632925816182
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.09568789727740581,0.4429273491647356,0.0,0.5386152464421414
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.07444072760901162,0.37490429203874215,0.0,0.44934501964775375
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.08313886268680809,0.40488210748663,0.0,0.4880209701734381
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.0723023958973585,0.3335694911247247,0.0,0.4058718870220832
