model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,transition_speed_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score,transition_speed_dimension_score
IMAGE 3.2,SSP1_SPA1_19I_D,R10LATIN_AM,0.20705815029321933,1.1563994929133354,0.0,1.4865223472339246,1.095623771324032,0.2276087155348021,0.20705815029321933,0.5781997464566677,0.0,0.44832797537094776,0.3020369508299302,0.045300038014182906
IMAGE 3.2,SSP1_SPA1_19I_D_LB,R10LATIN_AM,0.2151987857862556,0.14784975483200846,5.078939848516647,1.5699329272875298,0.9481246076449296,0.4377994606282395,0.2151987857862556,0.07392487741600423,0.6974264518299764,0.4796988727087375,0.19200209025771944,0.14957929112321605
IMAGE 3.2,SSP1_SPA1_19I_LI,R10LATIN_AM,0.18043128006180817,0.0005825541748626742,0.0,1.4668796581756713,1.375993124666515,0.31621069083229714,0.18043128006180817,0.0002912770874313371,0.0,0.4409403180559096,0.5111934093091037,0.08925700578600636
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10LATIN_AM,0.274379772745161,1.0017236440986375,0.0,1.5051376306342974,1.4692744958788393,0.3644402857688618,0.274379772745161,0.5008618220493187,0.0,0.45532922322333835,0.5807816186203337,0.11318453949116755
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,R10LATIN_AM,0.2874584681743951,0.0,0.0,1.63437737180867,1.2731534317271742,0.5979405860515914,0.2874584681743951,0.0,0.0,0.5039365659577753,0.43447466059478435,0.22902806487281024
IMAGE 3.2,SSP1_SPA1_19I_RE,R10LATIN_AM,0.25752792276397507,0.14917368921393157,0.0,1.613889883524954,1.1344437819888151,0.29987726209913557,0.25752792276397507,0.07458684460696578,0.0,0.4962311778494012,0.3309968062919198,0.0811537101425823
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,R10LATIN_AM,0.2761835068730407,0.14699897572915946,6.5169790101548575,1.684647086737753,0.9571022468501855,0.5269714009550683,0.2761835068730407,0.07349948786457973,0.894894147846657,0.5228431131275315,0.1986994385922979,0.19381902837440348
IMAGE 3.2,SSP2_SPA1_19I_D_LB,R10LATIN_AM,0.22518195295104781,0.1265071263989681,0.0,1.5481131493426823,0.9299609282827315,0.2810651345606051,0.22518195295104781,0.06325356319948405,0.0,0.4714924076128076,0.17845192579410238,0.07182068927985222
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10LATIN_AM,0.2901213753541336,0.17016866530166572,0.0,1.6666922212599071,1.1589920495726427,0.5748707957658366,0.2901213753541336,0.08508433265083286,0.0,0.5160902498665718,0.34930989453933803,0.217582744103282
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,R10LATIN_AM,0.3273433066375637,0.1257879264153729,0.0,1.7037784156865876,0.8902029220059773,0.3719945926629657,0.3273433066375637,0.06289396320768645,0.0,0.5300384468130624,0.14879232252469388,0.11693236140560717
IMAGE 3.2,SSP2_SPA2_19I_D,R10LATIN_AM,0.25287593284428905,1.1301416199848917,0.0,1.5668755074923122,1.0884957606530365,0.24241662512479656,0.25287593284428905,0.5650708099924459,0.0,0.4785489705925713,0.2967194314570978,0.0526464973050726
IMAGE 3.2,SSP2_SPA2_19I_LI,R10LATIN_AM,0.23749634507631948,0.17152123475482686,0.0,1.5619209034873953,1.3844333520675585,0.42825083149109056,0.23749634507631948,0.08576061737741343,0.0,0.4766855334424189,0.5174898466725867,0.1448420515544881
IMAGE 3.2,SSP2_SPA2_19I_LIRE,R10LATIN_AM,0.359883183449376,1.1732269527719679,0.0,1.6441733233562545,1.3405546036211138,0.36372660205034635,0.359883183449376,0.5866134763859839,0.0,0.5076208442606924,0.48475615620982704,0.11283046869185723
IMAGE 3.2,SSP2_SPA2_19I_RE,R10LATIN_AM,0.3410378577204522,1.1291499532975187,0.0,1.7099317786153376,1.0496489763383912,0.3121225330722158,0.3410378577204522,0.5645749766487593,0.0,0.5323527397552278,0.2677396027643717,0.08722880022622462
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,R10LATIN_AM,0.17881815031068135,1.5866845423232567,0.0,2.057915372159187,1.0108952529142736,0.6649901411576826,0.17881815031068135,0.7933422711616284,0.0,0.6632301126410604,0.23882919780164208,0.2622925053440023
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,R10LATIN_AM,0.17520565649955033,1.587363815380229,0.0,2.0305097082039105,1.0404758056406156,0.5931952916114508,0.17520565649955033,0.7936819076901145,0.0,0.6529227838841759,0.26089638729414166,0.22667384247457698
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,R10LATIN_AM,0.15984832960524498,1.5854830393102963,0.0,2.027522629697695,0.9955645867530433,0.5104521466901266,0.15984832960524498,0.7927415196551482,0.0,0.6517993372770646,0.22739247049110553,0.18562354148034177
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,R10LATIN_AM,0.1728547852800501,1.5744044381734201,0.0,2.0360202903455455,1.0185194633739265,0.6194400907603159,0.1728547852800501,0.7872022190867101,0.0,0.6549953255992148,0.2445168838466034,0.23969433989002525
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,R10LATIN_AM,0.16743221777371298,1.5724981923030428,0.0,1.9892542208560253,1.0429800641878735,0.5141736733702276,0.16743221777371298,0.7862490961515214,0.0,0.6374065069636792,0.26276457239574524,0.18746985503926536
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,R10LATIN_AM,0.15880999663971487,1.58707703054604,0.0,2.0264858726453934,0.9950622310294711,0.49568681463692454,0.15880999663971487,0.79353851527302,0.0,0.651409410734999,0.22701771147131083,0.17829820563964946
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,R10LATIN_AM,0.15952561969214712,1.585256430007892,3.7711143601142325,2.1490029806410273,0.903573104497868,0.5395043652436016,0.15952561969214712,0.792628215003946,0.5178393495618342,0.6974883567701887,0.15876652257860674,0.20003684807274202
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,R10LATIN_AM,0.1573887565343991,1.5743810170586814,2.3947326695829916,2.1170531932989283,0.9378526038262944,0.5459138017921735,0.1573887565343991,0.7871905085293407,0.328838292762293,0.6854719735004756,0.18433914167016166,0.20321668006695143
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,R10LATIN_AM,0.157621189469707,1.5721820841321308,2.3155794386991513,2.07146933628502,0.9849064233052932,0.5676312593693207,0.157621189469707,0.7860910420660654,0.3179691825517599,0.6683277875024308,0.21944144555186942,0.21399108526050686
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,R10LATIN_AM,0.1869091438474316,1.4418442342268505,4.575563917269843,2.0889323936364352,1.0723245972817532,0.6740961313338338,0.1869091438474316,0.7209221171134252,0.6283042136982132,0.6748956806764517,0.284655690467211,0.26681014409144155
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,R10LATIN_AM,0.1568939650526753,1.5726561483494177,2.259464797988084,2.0497927985335447,1.0072159609765436,0.5405533812316204,0.1568939650526753,0.7863280741747088,0.3102636699971539,0.6601751953492144,0.23608443393129658,0.20055728299332531
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,R10LATIN_AM,0.16753209452634385,1.4423040773173073,4.47887959038726,2.0981142070447234,0.9990495738930687,0.5796404868603843,0.16753209452634385,0.7211520386586536,0.6150277802186982,0.6783489803132727,0.22999228234416064,0.21994907010245543
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,R10LATIN_AM,0.1553488793578513,1.5726615858681372,2.177228515384022,2.037860068643627,1.0274399380167325,0.525644021048543,0.1553488793578513,0.7863307929340686,0.2989712033606394,0.6556872701472124,0.2511715872298346,0.19316049231382257
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,R10LATIN_AM,0.1502997137771903,1.4459905950756713,3.9010035036492665,1.9745975023975495,0.8959879325129182,0.5340045782184505,0.1502997137771903,0.7229952975378356,0.535675379758831,0.6318940838421251,0.15310795936399754,0.197308308892834
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,R10LATIN_AM,0.16202047929483743,1.4031836587273472,0.0,1.9479191626374264,0.9737289744455842,0.6132692139343547,0.16202047929483743,0.7015918293636736,0.0,0.6218603032687298,0.21110303198969574,0.23663286148785764
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,R10LATIN_AM,0.16287663907330271,1.4519075373210981,2.339008398875679,2.0761361927375654,1.0431110198373985,0.5667129075282074,0.16287663907330271,0.7259537686605491,0.32118638477374595,0.6700830021834572,0.26286226574042065,0.21353547507633802
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,R10LATIN_AM,0.1580695411101726,1.3652697542332428,4.566627609701467,2.021733623089567,0.8695955382371704,0.5317423310732343,0.1580695411101726,0.6826348771166214,0.6270771038158833,0.6496220795254141,0.13341914654729023,0.19618596907455935
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,R10LATIN_AM,0.15853623331236605,1.3910551408563991,4.466961540552758,2.008653159097181,0.8742342655044595,0.5327637317325323,0.15853623331236605,0.6955275704281996,0.6133912254539795,0.6447024890757125,0.13687965232479507,0.1966927035543735
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,R10LATIN_AM,0.15381090767192446,1.3969756185978603,4.332298989059726,1.9875581826746562,0.8904950746778711,0.5447507341067943,0.15381090767192446,0.6984878092989302,0.5948997236281436,0.6367686233806312,0.14901026937751521,0.20263966213263332
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,R10LATIN_AM,0.1539062192105111,1.4202205781539674,4.202805746621494,1.9778362040343724,0.8920931052760273,0.5382156320437015,0.1539062192105111,0.7101102890769837,0.5771180575121269,0.633112166446169,0.15020240545254265,0.19939748530973048
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,R10LATIN_AM,0.15346827726394544,1.551311299200545,2.0272274455922563,1.9925663683697405,0.999141219353304,0.5468971849963898,0.15346827726394544,0.7756556496002724,0.2783734571782101,0.6386522127189155,0.2300606501585098,0.20370455343173757
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,R10LATIN_AM,0.1692026148881742,1.5469493345194762,0.0,1.9639922994214944,1.0260038500448239,0.5633170611141654,0.1692026148881742,0.7734746672597381,0.0,0.6279054443482571,0.2501002608858956,0.21185073711334224
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,R10LATIN_AM,0.16499599840289558,1.5855314726983383,0.0,2.042199797649089,1.1204262725065368,0.5450157310399628,0.16499599840289558,0.7927657363491691,0.0,0.657319451496589,0.3205396981770033,0.2027711316807084
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,R10LATIN_AM,0.15429231523126227,1.4391894125489981,4.227644932034424,1.940446484661796,0.8538156769620631,0.5205188843868659,0.15429231523126227,0.7195947062744991,0.5805289080962199,0.6190498131191443,0.12164731820640001,0.19061782363959606
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,R10LATIN_AM,0.1618208894640049,1.4460963881223299,2.860608025335197,1.938293516962288,0.8579800095139125,0.505640572424227,0.1618208894640049,0.7230481940611649,0.39281105204830474,0.6182400773682427,0.12475392396801623,0.18323643651763938
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,R10LATIN_AM,0.16152228968759738,1.511888843703058,2.47807102484623,1.948870893972381,0.870746122576394,0.5282933881031278,0.16152228968759738,0.755944421851529,0.34028209307222607,0.6222182514568713,0.1342774862434968,0.1944748889945183
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,R10LATIN_AM,0.15970788549469725,1.5159696889274696,2.282586861834793,1.9734898911687688,0.9372828112036895,0.5459891996992492,0.15970788549469725,0.7579848444637348,0.3134387300349896,0.6314775088929289,0.18391407450218902,0.20325408626879127
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,R10LATIN_AM,0.1424254215368573,1.4425664405201761,2.2508473019768536,1.9328866788405321,0.9578360062053394,0.551571198158543,0.1424254215368573,0.7212832202600881,0.30908033846615995,0.6162065540006958,0.1992468254813081,0.20602341195880763
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,R10LATIN_AM,0.15998986735637746,1.4023318314233468,0.0,1.8948980219665175,1.0029005352827893,0.6288234847341245,0.15998986735637746,0.7011659157116734,0.0,0.6019189389999448,0.23286511218954714,0.24434960344495288
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,R10LATIN_AM,0.149703535574741,1.5478839080545714,0.0,1.9435782357155182,1.0190626146927597,0.5422278029930142,0.149703535574741,0.7739419540272857,0.0,0.6202276713804188,0.24492207651445777,0.20138799250239542
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,R10LATIN_AM,0.1650009216600865,1.514870423433261,0.0,1.9335100873694697,1.0390259908830395,0.5284482829256736,0.1650009216600865,0.7574352117166305,0.0,0.6164410192801392,0.2598148207230085,0.19455173498694464
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,R10LATIN_AM,0.17066106979332415,1.4670199482081714,0.0,2.0515311960170863,1.0728942444708238,0.6959763822425422,0.17066106979332415,0.7335099741040857,0.0,0.6608290103562964,0.28508064914128933,0.27766531386394544
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,R10LATIN_AM,0.1516355131931244,1.4146565680097853,2.4139897571940763,1.916213386852421,0.9402346551592804,0.6255260711130848,0.1516355131931244,0.7073282840048927,0.3314826245885697,0.6099356932668911,0.18611615978852333,0.24271369968791198
