model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.13094295826048924,0.6160927749927634,0.34356030738952636,0.0050277306812530195,1.095623771324032,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.11494648730817822,0.49351463581473665,0.3351609027265873,0.004502581795427448,0.9481246076449296,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.4179048936009797,0.6077865195231741,0.34614679699089845,0.004154914551462656,1.375993124666515,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.49676862140967737,0.6409594089502973,0.32734109149176127,0.004205374027103356,1.4692744958788393,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.46190142892278657,0.49783680153307835,0.3097637100450076,0.003651491226301606,1.2731534317271742,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.16138173813150078,0.5686945352689626,0.39962903944557465,0.004738469142777063,1.1344437819888151,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.11939420317804728,0.4280014780202326,0.4051952462489897,0.004511319402915908,0.9571022468501855,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.09082752280398476,0.638881395118273,0.19549873594403544,0.004753274416438232,0.9299609282827315,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3489134752925608,0.5249055806755015,0.28107654207019744,0.004096451534382954,1.1589920495726427,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.08366807683037092,0.5020953773437546,0.2997008878684179,0.00473857996343372,0.8902029220059773,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.12966548744413794,0.6718799454801404,0.2817416766285992,0.005208651100158882,1.0884957606530365,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.35089812227883105,0.6657204488253653,0.3629263646984337,0.004888416264928567,1.3844333520675585,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.36690415131826365,0.5983892533338935,0.3703584959583186,0.00490270301063802,1.3405546036211138,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.14130447899806478,0.5757981001352915,0.32744474043802285,0.00510165676701186,1.0496489763383912,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.04484456520449695,0.4527504666570965,0.5063418875380402,0.006958333514640065,1.0108952529142736,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.04219848531999929,0.5009917630190401,0.4899105642973941,0.007374993004181973,1.0404758056406156,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.037713044011587774,0.45311114593857504,0.49741427971231283,0.0073261170905675466,0.9955645867530433,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.042765596457384356,0.4509779570933069,0.5178175763085952,0.006958333514640065,1.0185194633739265,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.04018060944456659,0.5003443617392465,0.4950800999998784,0.007374993004181973,1.0429800641878735,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.031939479155700994,0.45766546341089026,0.49768983881698686,0.007767449645893086,0.9950622310294711,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.06285318720376039,0.29625687651989013,0.5402174358798535,0.004245604894363973,0.903573104497868,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.061209727509757575,0.3301976446692676,0.5420557360295253,0.004389495617743968,0.9378526038262944,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.06114839919931658,0.3936272962485715,0.5255918852352519,0.004538842622153182,0.9849064233052932,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.0802025519218971,0.37134722653777896,0.6175060403265559,0.003268778495521254,1.0723245972817532,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.06089456420573304,0.42151077747530563,0.5202440690330964,0.0045665502624084855,1.0072159609765436,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.07454011814726227,0.3343399473913229,0.5866328270943267,0.0035366812601567866,0.9990495738930687,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.06027291741970306,0.44726624199509657,0.5152156807300273,0.0046850978719055756,1.0274399380167325,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.06264403790115525,0.2912796428197695,0.5378609217456889,0.0042033300463045695,0.8959879325129182,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.07929567203221065,0.32818254642419814,0.5623686792213833,0.0038820767677921145,0.9737289744455842,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.07297118175278143,0.3884857335244838,0.5774868628562806,0.004167241703852781,1.0431110198373985,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.06107804379103006,0.3105980332478266,0.49383110248261286,0.004088358715700944,0.8695955382371704,R10LATIN_AM
