model,scenario,environmental_score,environmental_score_2050
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,1.4123896513729002,1.6839169114685464
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,1.4457992127529788,1.7446520097200002
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,1.374278009348659,1.721716415688328
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,1.2139152227138232,1.5977086827675366
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.40792806931050113,0.7334188233659084
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.230100588732777,1.6542438859758595
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.3987446347952423,0.7245485477378878
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.3457416644798701,0.7265616294015409
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.28946921884013777,0.6848936926235838
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,1.164240744703266,1.5626997858324652
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,1.2177326895021205,1.6228957838035254
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,1.2270910496935157,1.595679880943664
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,1.2246305647508047,1.6258176309075818
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.6970748988021197,0.6798181835695888
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.3457416644798701,0.7265616294015409
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.3987446347952423,0.7245485477378878
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.39592563395741803,0.7245233153788107
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.39999175677693505,0.7330243174343092
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.7715825287694476,0.771042173189297
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.697307615344159,0.6801032491501116
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.7721299480465929,0.7725773419566265
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7721149077080831,0.7725590184577725
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.6660789302858479,0.8294171195078832
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.825922806437336,0.8311765743718986
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.8582434849684071,0.8273237018884704
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.9614132388847872,0.9835976694411968
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.7115855730975369,0.7434092137011769
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.725569270558823,0.756596596876577
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.7279420029813878,0.7609254432353484
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.8415341492856105,0.820615900600507
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.8391362872224838,0.8285174506093255
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.7607273679415291,0.8083375692353761
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.8293270762158707,0.8264260478850598
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.8309601732832942,0.8278399297866254
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7602870636819907,0.7970655726491609
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.7369861591175817,0.7803689659176478
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.7463700215623899,0.7900875017894139
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.8266724883100418,0.8239730300326172
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.7571062279327875,0.8024899781514465
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.8237330591241233,0.8251797452062227
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.7657532901679064,0.8185949982812932
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.8234520218817897,0.825783957504941
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.8520890926749113,0.8269946688168477
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.7818395617035264,0.8225650018786642
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.8367284556953977,0.8268248092094285
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.812322349384178,0.8311210594232886
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.8404154358973744,0.8288071944131435
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.5665310895072543,0.6274028111793564
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.5084494044355392,0.7495962601374032
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.8287658921061285,0.8243706191542981
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.9033925518809359,0.9479627645214584
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.0,1.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.9627909123611108,0.984500657081783
WITCH 5.0,EN_INDCi2030_500f,0.022999182703239834,0.4062245775386568
WITCH 5.0,EN_NPi2020_400f,0.0006963489892728143,0.40426908427527736
WITCH 5.0,EN_NPi2020_450,0.05050089740525535,0.3602554944500819
WITCH 5.0,EN_NPi2020_450f,0.0003877251010445727,0.4074145527724543
WITCH 5.0,EN_NPi2020_500,0.06509043353701044,0.3990738551808393
WITCH 5.0,EN_NPi2020_500f,0.0,0.415199085931394
