model,scenario,shannon_index
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,1.5024631028590145
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,1.6641182976618276
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,1.4441011113706828
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,1.366104165045413
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,1.4135640303302488
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,1.4325028827895412
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,1.4607033892101908
REMIND-MAgPIE 1.7-3.0,CO_Bridge,1.4492824631919539
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,1.389634123044022
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,1.3858782181104474
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,1.3895263108133533
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,1.4607033892101908
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,1.4325028827895412
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,1.4643736135251961
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,1.4652108945655322
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,1.3096229861570576
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,1.315071828715362
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,1.320385884331263
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,1.1959274040276375
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,1.2163078272847276
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,1.2414653878163024
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,1.365014684770599
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,1.3630682276177402
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,1.2653876628416325
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,1.3456069272029842
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,1.34546830109253
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,1.263402041428237
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,1.2329249785118754
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,1.2561296057932927
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.4253349566698237
WITCH 5.0,EN_INDCi2030_500f,1.5549837321400921
