model,scenario,flexibility_scores,shannon_index,carbon_budgets,robustness_score
AIM/CGE 2.2,EN_NPi2020_300f,0.6951257327641203,0.0,0.4584939226159086,1.1536196553800289
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.7116095253532867,0.13658033612968173,0.5690380036994187,1.417227865182387
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.6503952625616858,0.11455897992368391,0.5095129365729721,1.274467179058342
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.5816078752804736,0.1898630138946244,0.580423412452716,1.351894301627814
IMAGE 3.2,SSP2_SPA2_19I_LI,1.0,0.028590442325386458,1.0,2.0285904423253864
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.2702798250470368,0.6134369074991776,0.5153874997801983,1.3991042323264127
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.2798877925190359,0.5610203684673394,0.6806184688242787,1.521526629810654
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.012823022804839284,1.0,0.16100381968121474,1.173826842486054
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.31566693219794123,0.5627597609427853,0.40901606704409915,1.2874427601848257
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.0,0.9728567726817592,0.3281545563561696,1.3010113290379288
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.028382003914861932,0.9193032111096792,0.3649738681619548,1.312659083186496
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.0568511962117016,0.8668967838794154,0.41578601719550096,1.339533997286618
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.27344520062586297,0.5653686497619569,0.40699869460565063,1.2458125449934705
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.2445232233972425,0.683337965638629,0.3333086509600717,1.2611698399959432
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.42354558971400647,0.5987702174906513,0.43461322756550147,1.4569290347701591
WITCH 5.0,EN_NPi2020_400f,0.5156611129511716,0.17855989740742417,0.0,0.6942210103585957
WITCH 5.0,EN_NPi2020_450f,0.5266177297543121,0.16722662290389498,0.025349257839859324,0.7191936104980664
WITCH 5.0,EN_NPi2020_500f,0.5368861048643181,0.15711970072808149,0.0584947861860819,0.7525005917784815
