model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score
AIM/CGE 2.2,EN_NPi2020_300f,0.1834094119076388,0.7287862569119581,0.44769548382178875,0.5313989920418809,0.5834858929622565
AIM/CGE 2.2,EN_NPi2020_400f,0.1756732321219234,0.7479977560599694,0.44591739877466907,0.5306993314497027,0.5698206150426169
AIM/CGE 2.2,EN_NPi2020_500f,0.1734103207213539,0.7576946982772913,0.4037209310581455,0.5242552336938071,0.564366182380952
AIM/CGE 2.2,EN_NPi2020_600,0.1603812661149788,0.10619246090727506,0.44272181667674004,0.5262831339225662,0.6200446417790588
AIM/CGE 2.2,EN_NPi2020_600f,0.1431118598562508,0.7645130599387775,0.35296531182307167,0.519332287944741,0.5621160127194766
GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.0126322695479864,0.5098750032002134,0.4137966068829123,0.5205105226841384,0.5972757685787922
GCAM 5.3,NGFS2_Net-Zero 2050,0.0,0.46900544389522697,0.3057459103325721,0.5171061563738033,0.6762010884857399
IMAGE 3.2,SSP1_SPA1_19I_D,0.129064958188624,0.7741527485429736,0.2151720568894236,0.09605870166985601,0.9699998069896376
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1752442582242587,0.1295586338763147,0.4534100985086712,0.08346304124054782,0.7180627553753522
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0854225279339561,0.7657044956606965,0.21309444545726963,0.04946081787453934,1.0
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.3139477956281497,0.7659323736546536,0.16757953969508177,0.08866102168658495,0.9618513900738265
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3684859460098577,0.12408730740153812,0.3858736282019077,0.09485848815501295,0.7594966191766508
IMAGE 3.2,SSP1_SPA1_19I_RE,0.2526657872612467,0.7657224788230983,0.3834092567853317,0.11627043220847187,0.8739336405353498
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.3446322382272023,0.12683615285036492,0.680665223188828,0.10660927833056347,0.7113339269747277
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2026416449903112,0.18389480402549627,0.06559995786482434,0.5000122309051847,0.6700011100184929
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.365118288814395,0.34177989622030186,0.37416995607449205,0.46214295448452386,0.7020960414870304
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.4447126096890343,0.1814067671468298,0.41692018917405926,0.514128988223893,0.6685916015377066
IMAGE 3.2,SSP2_SPA2_19I_D,0.226124397362903,0.8369346642585345,0.03039728760786356,0.5211380798983993,0.9492973257368535
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1617587055040094,0.35588919513356615,0.0076548696521559975,0.4593619754518749,0.9320829257501102
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.4677718576594709,1.0,0.2986707211155908,0.5189254155186864,0.8495791665788687
IMAGE 3.2,SSP2_SPA2_19I_RE,0.4774054916926785,0.8371059293936418,0.32944370695887726,0.5154548990756801,0.8256107651507167
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.1419512419224556,0.23672282796238853,0.31266224795399583,0.6111177466273846,0.638625009547924
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.142192879349018,0.23628903914061578,0.33194737065920216,0.6143185997491863,0.6250299956401827
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.108966586006488,0.2337101156974789,0.348608148143859,0.6415924001220894,0.6781872075933795
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.142565723221413,0.23117838647535358,0.2978577651353796,0.6295209090948274,0.6458834495279832
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.1399635134478201,0.2312431986504988,0.30449197594946953,0.6330875018591137,0.6323768245104698
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.1086389980268348,0.2349375252818794,0.3623066350318683,0.6452271799890958,0.6707094647532109
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.1556623467640695,0.2265122671977543,0.5126401043773317,0.6953586515381471,0.4410972187922707
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1470964349134964,0.22264582343756498,0.4293689366247176,0.6931921675073744,0.4684855937233678
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.1387200197576413,0.22364308023841345,0.392746778669219,0.6905736424342541,0.4925419091290791
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.1699468434047933,0.2685195154774986,0.5783391691746655,0.6671066656160806,0.4143005111486123
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.1339499427413319,0.22434825091899727,0.38669548873213666,0.6902072693873413,0.5037249830671414
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.1553952177644401,0.2705808237562249,0.5811333504859909,0.684890845076387,0.4410114105427311
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1271337919694863,0.22624126062078853,0.36863811123598594,0.6902293080688066,0.5183665154951257
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.1371219228412155,0.2712738077603015,0.5194482485030902,0.691890439656686,0.4898189322615847
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.1532273931636326,0.2685987925206065,0.39278153441017727,0.6688042157022418,0.48407907079694174
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.1116743125869374,0.27317800107761764,0.6006924945520316,0.7432575098450863,0.6180799127871439
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.177093812031598,0.2684319493473698,0.5067742197995977,0.7159527422541477,0.4728510964444121
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.167684209482606,0.26840953511924703,0.5110423860057309,0.7060009298218031,0.4759260847044902
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.154149534143693,0.26866230858320617,0.5159567634342933,0.7010947944419003,0.47995554517361694
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.144664744711293,0.2682395837854844,0.5225342995852013,0.6944163022468928,0.48292524594134606
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.1239547965790033,0.2309322409615367,0.35541474481811985,0.6927597803690846,0.5357300315493776
