model,scenario,carbon_budget_fairness
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,4.4308268891520095
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,4.385300344332301
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,4.1440999301147645
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,4.192993525669744
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,4.166858313073631
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,4.191726518424444
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,3.47783412713294
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,4.2276316058822045
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,3.8964547867503003
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,4.2525355575223
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,4.134456070935264
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,4.054247735922021
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,4.301413737156337
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,4.249266929332477
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,3.5996958954614073
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,3.6439842270112734
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,3.6543873611019193
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,3.7552484052340813
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,3.9084519491283363
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,3.5115815796391905
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,4.043569180554063
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,3.69311172254345
WITCH 5.0,EN_INDCi2030_500f,5.382897537976323
WITCH 5.0,EN_NPi2020_400f,3.777814934694513
WITCH 5.0,EN_NPi2020_450,3.40403887005066
WITCH 5.0,EN_NPi2020_450f,3.843096520731709
WITCH 5.0,EN_NPi2020_500,3.56105374216021
WITCH 5.0,EN_NPi2020_500f,3.899158555965325
