model,scenario,electricity_price
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,4.49189931
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,6.361325203
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,9.556497196
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,5.128485609
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,7.163938149
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,5.879042871
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,6.876006518
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,3.333500181
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,5.594599294
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,2.603300119
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,2.830990341
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,4.902118395
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.701117474
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,3.06835347
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,4.021571767
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.577607178
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.922828875
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,3.122101631
WITCH 5.0,EN_INDCi2030_500f,-0.039597904
WITCH 5.0,EN_NPi2020_400f,0.2448096
WITCH 5.0,EN_NPi2020_450,0.828837728
WITCH 5.0,EN_NPi2020_450f,0.228264324
WITCH 5.0,EN_NPi2020_500,0.581613992
WITCH 5.0,EN_NPi2020_500f,0.23031071
