model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,cluster
AIM/CGE 2.2,EN_NPi2020_300f,0.125529751098739,0.9419221036950052,0.4595975290533832,0.4963949464720524,0.5686804153812473,2
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1167858541227738,0.1729936285971498,0.6385995764668269,0.0574234600278227,0.6986269064532363,1
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3237244464603815,0.1656880203810672,0.4008605588443284,0.069228214634296,0.6282525799527143,1
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.2981799960514609,0.1693584260840116,0.8906444545230044,0.0823492869980127,0.6664205220636497,1
IMAGE 3.2,SSP2_SPA2_19I_LI,0.102344450051002,0.4752023188470039,0.0,0.4207002911968298,1.0,3
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.8338040504729738,1.0,0.6938150523425619,0.941256171774772,0.6896928049816752,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.775838562430199,0.989631999876506,0.7562913969714591,0.9033536040652618,0.7500413085188936,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.5843573352336725,0.9430406827571,0.9940223647141588,0.5786416114336459,0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.098271394217846,0.5583734393907996,0.743523913487571,0.252943384255476,0.6346489332312053,2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9342234650226956,0.6178149131264341,1.0,1.0,0.6413376016632372,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8775884529474011,0.6256813975772019,0.9713234519267048,0.9700110761406288,0.6470793984821235,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8277875362118218,0.6346815508690582,0.937433351601245,0.9436139248979408,0.6603274713998463,0
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.0223975239487059,0.4749225633578094,0.8272403156032105,0.5637836132424969,0.6141271885148919,2
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.170245264631026,0.42623273279195,0.921107330358654,0.3048486009038337,0.6216976150938855,2
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3738481655861,0.8071068588201246,0.7460281550598523,0.7084451395715655,0.718197722108989,2
WITCH 5.0,EN_NPi2020_400f,0.0,0.0005837488058504,0.2529777728628608,0.5318049687628776,0.3422184172192025,3
WITCH 5.0,EN_NPi2020_450f,0.0011282669085884,0.0003250296449332,0.2494673783376802,0.5332417373903331,0.3545287385233118,3
WITCH 5.0,EN_NPi2020_500f,0.0056048969250753,0.0,0.245405399661395,0.5352040667749655,0.3709475190644619,3
