,scenario,model,forest_change_2050,forest_change_2100,beccs_threshold_breached
57,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,0.028527085218454096,0.07116960727872929,1
58,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,0.02434873846371588,0.026390601513950618,1
59,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,0.02073191760597981,0.05969050965374334,1
60,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,0.02088768181248707,0.05466680602933993,1
61,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,0.02088963419149925,0.054933995295185,1
62,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,0.02023186065771826,0.05454860187620991,1
63,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,0.01729019105647872,0.019328652938513657,1
64,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,0.024326681229399738,0.02636854427963442,1
65,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,0.017171405838166398,0.019276767691511487,1
66,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,0.017172823637210954,0.019278193238091823,1
67,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.012773371218820107,0.029328447420521042,1
68,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.01263723163952396,0.014178197251842772,0
69,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.012935351500228232,0.011114793278186041,1
70,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.0008434970101277028,0.0013362041992225349,0
71,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,0.01942831892571878,0.025015257328206364,1
72,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,0.018407931967101776,0.023689860823051412,1
73,EN_INDCi2030_500f,REMIND-MAgPIE 2.1-4.2,0.01807298315188971,0.023464969568843308,1
74,EN_INDCi2030_600_COV,REMIND-MAgPIE 2.1-4.2,0.013454374331687335,0.012698529995799679,1
75,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,0.012842983999381052,0.01292580307626423,1
76,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,0.014404422497568237,0.020357521895672415,1
77,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,0.013004808376262555,0.01385553528925626,1
78,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,0.012895407850457452,0.013700747819652137,1
79,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,0.015276604503745517,0.02039925461539216,1
80,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,0.01656852114371804,0.02260775044148644,1
81,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,0.015816539713550737,0.021718333424017633,1
82,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,0.013194613085248053,0.014107141242742649,1
83,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,0.014856885704408074,0.020700739154594805,1
84,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,0.013101242292154702,0.014385744893955221,1
85,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,0.013610743669238035,0.01988115720225264,1
86,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,0.013054490761419069,0.014412382039090732,1
87,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,0.01296081076312916,0.011698116112488999,1
88,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,0.013303560671478754,0.018356475469591405,1
89,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,0.012973953820087536,0.013154021077964928,1
90,NGFS2_Divergent Net Zero Policies,REMIND-MAgPIE 2.1-4.2,0.012641527164179323,0.015467269637502556,1
91,NGFS2_Net-Zero 2050,REMIND-MAgPIE 2.1-4.2,0.012820564782859978,0.012804563383545853,1
92,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.028404430309981188,0.03876374596219373,0
93,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.01894959002159019,0.044268818037779045,1
94,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.013163849229428037,0.01390872518841274,1
95,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,0.0036007834078936596,0.006835494783453966,1
96,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,-0.0004256497167490769,-0.0023211087874850933,1
97,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,0.0007736274385841124,0.0012056261732162898,1
98,EN_INDCi2030_500f,WITCH 5.0,0.045518317283244514,0.09028054198217628,1
99,EN_NPi2020_400f,WITCH 5.0,0.045669625529700775,0.0923944391071233,1
100,EN_NPi2020_450,WITCH 5.0,0.04907522104946427,0.08767388686447708,1
101,EN_NPi2020_450f,WITCH 5.0,0.04542624175973137,0.09242369095728659,1
102,EN_NPi2020_500,WITCH 5.0,0.04607161157533873,0.08629106803173314,1
103,EN_NPi2020_500f,WITCH 5.0,0.04482390572318384,0.0924604401429227,1
