,2020,2030,2040,2050,2060,2070,2080,2090,2100,scenario,model,temperature_category
0,0.01926031279649039,0.019525725032149957,0.015065836398323892,0.013576379268487081,0.01244401657599932,0.012291480789160196,0.011297972918949378,0.0100783227414588,0.010003181573709679,CD-LINKS_INDCi,AIM/CGE 2.1,C7
0,0.01815029015613751,0.02577967629172539,0.021041516887452514,0.0230748908430487,0.021299585600632838,0.01652023844878138,0.014736205573787282,0.014046723039042421,0.013080865590537987,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.01815052279181408,0.026748565211067325,0.029557205316273084,0.03130308988021898,0.023239971525261603,0.01976705139729348,0.019315170155649212,0.016058298376082986,0.019369869526193326,CD-LINKS_INDCi,AIM/CGE 2.1,C1
0,0.04323444412184327,0.03549682270860698,0.03548332210807083,0.034734822422892574,0.03174015229667345,0.027295701212005807,0.025480603923357128,0.023421045722072015,0.021519646893649772,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012812365184020388,0.01167398618057056,0.014766607091193469,0.011885633465903815,0.015447033486483179,0.013700815987512015,0.01026803036492433,0.008993974225287424,0.007992031891920616,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012812365184020388,0.011673992409760903,0.0144601551186681,0.011753818225642653,0.01551262870033152,0.011374863663252488,0.009872969479762198,0.008700144100817774,0.007848073959275823,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.012812361142006448,0.011673986801745492,0.01267984794850706,0.011371207349639059,0.01663603006865978,0.011918847543193296,0.011711788983211274,0.009000545995275312,0.00811524583624497,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.01281236147205214,0.011673980922276415,0.01229842461686083,0.011118290844860027,0.01375839858172252,0.011948338540350876,0.009693962788839924,0.008699941984804291,0.007856843155802266,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.012812360938439172,0.01167397614198268,0.011758598320588358,0.010914189899720757,0.012257311299690625,0.012297143924183095,0.011393865881620668,0.009029976405291538,0.008121539978847228,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.01281236147205214,0.011673979171610036,0.011044242297372095,0.010764417188503576,0.011959350858331358,0.012598037124426083,0.011164059444008025,0.008871225047493918,0.007887296583661203,CD-LINKS_INDCi,AIM/CGE 2.1,C5
0,0.01281236147205214,0.011673979171610036,0.011211072946301255,0.010868390812927167,0.011633839312387815,0.013302134718174442,0.0110616230273003,0.009232761391771043,0.00799425498864565,CD-LINKS_INDCi,AIM/CGE 2.1,C5
0,0.01281236147205214,0.011673979171610036,0.011010946098131266,0.010773306336358946,0.011056271624666561,0.011253539526002167,0.010309632779689834,0.008908033623994538,0.007880433187619542,CD-LINKS_INDCi,AIM/CGE 2.1,C5
0,0.01281236147205214,0.011673979171610036,0.011010946098131266,0.010773306336358946,0.011056271624666561,0.011253539526002167,0.010309632779689834,0.008908033623994538,0.007880433187619542,CD-LINKS_INDCi,AIM/CGE 2.1,C5
0,0.012812363582377131,0.011673977933866122,0.016337252899690388,0.014121930640261193,0.01609768373800193,0.011808446309218039,0.010215306696575138,0.008987074027380713,0.007944917501257523,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012812365184020388,0.01167398618057056,0.016271763222537806,0.012352909278932855,0.016034458511039313,0.013619694222182566,0.010229462303516727,0.008982381938043729,0.007960506276343633,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012812449125653791,0.011676111736057485,0.011275153657009417,0.010767115333179493,0.010499445282088953,0.009785338071843255,0.009239567944680782,0.00823710893111384,0.007510002178065531,CD-LINKS_INDCi,AIM/CGE 2.1,C6
0,0.012813380428736625,0.015599809898051849,0.012637999052631195,0.01317599856523824,0.014028897775676157,0.011151164037956789,0.00979072366179562,0.008640643406613715,0.007765446224697891,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012813277272667364,0.013698037292258129,0.011893779535578228,0.012408197693466598,0.015048504473412466,0.012770506318327816,0.011405861388012506,0.010056855220576803,0.008232016160877818,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012813294086385266,0.013927544027506584,0.011986048472224411,0.01248530159098899,0.014817559571783821,0.012732955841135903,0.009741914519285386,0.008687039567156926,0.00786112432658548,CD-LINKS_INDCi,AIM/CGE 2.1,C3
0,0.012813207336334329,0.012794861836910728,0.011927301326001788,0.011903533035410281,0.011963487371898012,0.012003795828871566,0.01143879759236295,0.009621768670111734,0.008108089328648307,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.012813186778691688,0.012870011135673211,0.011837694635120823,0.011786273680319117,0.011825060280799863,0.012204927147027356,0.00961834954883307,0.008735022129817194,0.007863984466657988,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.01281314606467193,0.012838930420836465,0.011733709784328767,0.011623659244943078,0.011590272715085876,0.012308141674296912,0.011062155769675435,0.009377511109949803,0.00802409994932754,CD-LINKS_INDCi,AIM/CGE 2.1,C4
0,0.012813070634951303,0.012493849960902335,0.011608164264009395,0.011351031808588432,0.011140829060877681,0.011751893337381816,0.010951448011545076,0.008800147285601013,0.007884463724340004,CD-LINKS_INDCi,AIM/CGE 2.1,C5
0,0.012813070634951303,0.012493849960902335,0.011608164264009395,0.011351031808588432,0.011140829060877681,0.011751893337381816,0.010951448011545076,0.008991626177106265,0.007910655852918648,CD-LINKS_INDCi,AIM/CGE 2.1,C5
