,scenario,model,mean_value,mean_value_2050
61,SSP2_openres_lc_CB500,MESSAGEix-GLOBIOM_GEI 1.0,0.5437804359413934,0.6635824211804437
62,SSP2_openres_lc_CB550,MESSAGEix-GLOBIOM_GEI 1.0,0.5389671246226609,0.6523160804366146
63,SSP2_openres_lc_CB600,MESSAGEix-GLOBIOM_GEI 1.0,0.5349375932387982,0.6429794294943676
64,SSP2_openres_mc_50,MESSAGEix-GLOBIOM_GEI 1.0,0.5377438836320522,0.5990070252917932
65,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,1.018642096255825,1.0649312800379733
66,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,1.1309299622814686,1.1883314274145396
67,CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,1.0187355156802713,1.0964415557510772
68,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,1.101035503879613,1.2059218307279411
69,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,0.9670389521863475,1.0133594316539802
70,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,0.9859796175553828,1.014502403758293
71,CO_Bridge,REMIND-MAgPIE 1.7-3.0,0.9498547995913125,0.9843014288430016
72,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,1.0996635001482382,1.1263047304805456
73,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,1.0562921493991633,1.1157034840603097
74,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,1.0631217996229256,1.1016517676346615
75,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,1.0371252245738813,1.0810106622610764
76,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,1.2293215674320364,1.2544376203540697
77,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,0.9859796175553828,1.014502403758293
78,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,0.9670389521863475,1.0133594316539802
79,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,0.9468765649228408,0.9746210643241481
80,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,0.930171516836238,0.971702793921325
81,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,1.1297705287725501,1.1321582745249514
82,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,1.0404521986264323,1.0830944712906643
83,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,1.0774722047139855,1.1108922314895944
84,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,1.0504571400039948,1.093089921852772
85,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.5332804571786469,0.7944295577887099
86,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.581371798917931,0.8735999811126166
87,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.9132550671457947,1.0804628512196002
88,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,1.036852810543747,1.18771930412514
89,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,1.1508785244416715,1.0214373752908643
90,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,1.1156441661297636,1.0007017213813374
91,EN_INDCi2030_500f,REMIND-MAgPIE 2.1-4.2,1.0760967098985512,0.9795550279095613
92,EN_INDCi2030_600_COV,REMIND-MAgPIE 2.1-4.2,0.9640145814708778,1.188013284984566
93,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,0.9565196973819943,1.1759950819374436
94,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,1.0390816437470916,0.9615904767745507
95,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,0.9600639953839926,0.9328759898332112
96,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,0.9605223975919992,0.9383403758167315
97,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,1.0407994090095842,0.9663645975054609
98,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,1.178548893546958,1.1311390831246826
99,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,1.1348325287434822,1.099360261341224
100,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,1.05342588610774,1.346197437108241
101,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,1.0963913778761407,1.0699213088988246
102,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,0.9899876778254829,1.206282132086494
103,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,1.0600732839595446,1.0491589904687122
104,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,0.9558098450422278,1.1222262706235713
105,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,0.8951208461353262,1.0505310510144712
106,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,1.0236022023652214,1.0203639906411315
107,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,0.9183173396478873,0.9784825994311711
108,NGFS2_Divergent Net Zero Policies,REMIND-MAgPIE 2.1-4.2,0.7112988454397827,0.8852853633389314
109,NGFS2_Net-Zero 2050,REMIND-MAgPIE 2.1-4.2,0.7126576345615768,0.925309777075907
110,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.474713686020771,0.7257612071144303
111,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.5888368322901693,0.8723864043442329
112,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.9727356922022469,1.1259760334115063
113,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,0.7597909071166256,0.9966052004540285
114,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,0.6860880217719861,0.8533860856703033
115,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,0.7459971888795635,0.9525779665393747
116,EN_INDCi2030_500f,WITCH 5.0,0.4725151546571564,0.5852631021868206
117,EN_NPi2020_400f,WITCH 5.0,0.4574251167814023,0.5608137933530609
118,EN_NPi2020_450,WITCH 5.0,0.44210269957640624,0.5521596104199739
119,EN_NPi2020_450f,WITCH 5.0,0.4582960220035283,0.5652761636508671
120,EN_NPi2020_500,WITCH 5.0,0.45850231430054045,0.5578974465577485
121,EN_NPi2020_500f,WITCH 5.0,0.4617515168241306,0.5725213341624514
