,2020,2030,2040,2050,2060,2070,2080,2090,2100,scenario,model,temperature_category,max_value,mean_value,mean_value_2050,largest_annual_increase,mean_annual_increase
0,0.01926031279649039,0.019525725032149957,0.015065836398323892,0.013576379268487081,0.01244401657599932,0.012291480789160196,0.011297972918949378,0.0100783227414588,0.010003181573709679,CD-LINKS_INDCi,AIM/CGE 2.1,C7,0.019525725032149957,0.013727025343858744,0.017950624742321415,0.3190539034274041,0.010815230233180515
1,0.01815029015613751,0.02577967629172539,0.021041516887452514,0.0230748908430487,0.021299585600632838,0.01652023844878138,0.014736205573787282,0.014046723039042421,0.013080865590537987,CD-LINKS_NPi2020_1000,AIM/CGE 2.1,C3,0.02577967629172539,0.01863666582568289,0.021657161111771805,0.814709033379862,0.020033517678228703
2,0.01815052279181408,0.026748565211067325,0.029557205316273084,0.03130308988021898,0.023239971525261603,0.01976705139729348,0.019315170155649212,0.016058298376082986,0.019369869526193326,CD-LINKS_NPi2020_400,AIM/CGE 2.1,C1,0.03130308988021898,0.022612193797761564,0.02481876443971816,0.8740325455396939,0.028325821918023162
3,0.04323444412184327,0.03549682270860698,0.03548332210807083,0.034734822422892574,0.03174015229667345,0.027295701212005807,0.025480603923357128,0.023421045722072015,0.021519646893649772,CO_Bridge,AIM/CGE 2.1,C3,0.04323444412184327,0.030934062378796867,0.0380715296461737,0.20870286239141153,0.004518853785834231
4,0.012812365184020388,0.01167398618057056,0.014766607091193469,0.011885633465903815,0.015447033486483179,0.013700815987512015,0.01026803036492433,0.008993974225287424,0.007992031891920616,EN_INDCi2030_1000f,AIM/CGE 2.2,C3,0.015447033486483179,0.011948941986423978,0.013084319485261472,0.5285645414464029,0.018025128459223962
5,0.012812365184020388,0.011673992409760903,0.0144601551186681,0.011753818225642653,0.01551262870033152,0.011374863663252488,0.009872969479762198,0.008700144100817774,0.007848073959275823,EN_INDCi2030_1200,AIM/CGE 2.2,C4,0.01551262870033152,0.011556556760170207,0.012982170904149798,0.5486135013355254,0.01770393020552958
6,0.012812361142006448,0.011673986801745492,0.01267984794850706,0.011371207349639059,0.01663603006865978,0.011918847543193296,0.011711788983211274,0.009000545995275312,0.00811524583624497,EN_INDCi2030_1200f,AIM/CGE 2.2,C4,0.01663603006865978,0.011768873518720298,0.012388731964086333,0.7048643744927476,0.01873786076652235
7,0.01281236147205214,0.011673980922276415,0.01229842461686083,0.011118290844860027,0.01375839858172252,0.011948338540350876,0.009693962788839924,0.008699941984804291,0.007856843155802266,EN_INDCi2030_1400,AIM/CGE 2.2,C4,0.01375839858172252,0.01109561587861881,0.012261589003729796,0.4555769650030665,0.01661400779002539
8,0.012812360938439172,0.01167397614198268,0.011758598320588358,0.010914189899720757,0.012257311299690625,0.012297143924183095,0.011393865881620668,0.009029976405291538,0.008121539978847228,EN_INDCi2030_1400f,AIM/CGE 2.2,C4,0.012812360938439172,0.011139884754484903,0.01208164513367007,0.3225314927692317,0.016827130204911438
9,0.01281236147205214,0.011673979171610036,0.011044242297372095,0.010764417188503576,0.011959350858331358,0.012598037124426083,0.011164059444008025,0.008871225047493918,0.007887296583661203,EN_INDCi2030_1600,AIM/CGE 2.2,C5,0.01281236147205214,0.01097499657638427,0.011843527647011423,0.3092342102939839,0.016313186202998927
10,0.01281236147205214,0.011673979171610036,0.011211072946301255,0.010868390812927167,0.011633839312387815,0.013302134718174442,0.0110616230273003,0.009232761391771043,0.00799425498864565,EN_INDCi2030_1600f,AIM/CGE 2.2,C5,0.013302134718174442,0.011087824204574428,0.011899137863321143,0.32765787367012705,0.016611840248863054
11,0.01281236147205214,0.011673979171610036,0.011010946098131266,0.010773306336358946,0.011056271624666561,0.011253539526002167,0.010309632779689834,0.008908033623994538,0.007880433187619542,EN_INDCi2030_1800,AIM/CGE 2.2,C5,0.01281236147205214,0.01063094486890278,0.011832428913931147,0.21544460589350678,0.015874980076254586
12,0.01281236147205214,0.011673979171610036,0.011010946098131266,0.010773306336358946,0.011056271624666561,0.011253539526002167,0.010309632779689834,0.008908033623994538,0.007880433187619542,EN_INDCi2030_1800f,AIM/CGE 2.2,C5,0.01281236147205214,0.01063094486890278,0.011832428913931147,0.21544460589350678,0.015874980076254586
13,0.012812363582377131,0.011673977933866122,0.016337252899690388,0.014121930640261193,0.01609768373800193,0.011808446309218039,0.010215306696575138,0.008987074027380713,0.007944917501257523,EN_INDCi2030_800f,AIM/CGE 2.2,C3,0.016337252899690388,0.012222105925403131,0.013607864805311213,0.6281176220257452,0.0180068969681457
14,0.012812365184020388,0.01167398618057056,0.016271763222537806,0.012352909278932855,0.016034458511039313,0.013619694222182566,0.010229462303516727,0.008982381938043729,0.007960506276343633,EN_INDCi2030_900f,AIM/CGE 2.2,C3,0.016271763222537806,0.01221528079079862,0.013586038195709584,0.6217670803605567,0.018603760596123776
15,0.012812449125653791,0.011676111736057485,0.011275153657009417,0.010767115333179493,0.010499445282088953,0.009785338071843255,0.009239567944680782,0.00823710893111384,0.007510002178065531,EN_INDCi2100,AIM/CGE 2.2,C6,0.012812449125653791,0.010200254695521395,0.011921238172906898,0.20615957130889315,0.014596968470823748
16,0.012813380428736625,0.015599809898051849,0.012637999052631195,0.01317599856523824,0.014028897775676157,0.011151164037956789,0.00979072366179562,0.008640643406613715,0.007765446224697891,EN_NPi2020_1000,AIM/CGE 2.2,C3,0.015599809898051849,0.011733784783488677,0.013683729793139891,0.5129505554400544,0.01702464939896174
