model,scenario,investment_score,investment_score_2050
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,0.15995997997795808,0.1327505822162915
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,0.16335492618315475,0.07852125143929589
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.7451277769036662,0.6531261880094115
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.8809694793767193,0.805310439277211
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.7452407922641855,0.6919864958663153
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.844804270547383,0.8270039494930423
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.6827002039924563,0.5895247799100818
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.7056139196125799,0.5909343597008094
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.6619114524853861,0.5536887578700777
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.843144471236327,0.7288155028270206
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.7906754170736557,0.7157414280931728
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.798937675023054,0.6984120327178251
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.7674879811413997,0.6729562189817767
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.8868364478804839
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.7056139196125799,0.5909343597008094
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.6827002039924563,0.5895247799100818
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.6583084944628597,0.5417503683493138
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.6380993458495973,0.5381513872646694
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.8795668396496463,0.7360344343809885
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.7715128311575095,0.67552609368367
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.8162982637290711,0.7098079111104078
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7836164387686898,0.6878530656704759
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.15795523813355408,0.3195277041961597
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.2161343626222662,0.41716528285590343
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.6176344514038807,0.6722806264889339
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.7671584247348106,0.8045555331732775
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.9051025112139495,0.5994869706391679
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.8624772892016078,0.5739145541400218
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.8146342410337891,0.5478352197047773
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.6790414322886176,0.8049180874969956
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.6699743990417698,0.7900965392963325
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.7698547846139953,0.5256802885967872
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.674262159524753,0.49026791034109796
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.6748167175420796,0.4970069095013066
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7719328734223869,0.5315680124313342
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9385770991668586,0.7347775081661828
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8856906597765063,0.6955860136493225
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.7872079178769568,1.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8391859788731343,0.6592801823290132
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.7104627225151184,0.8274482941202398
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.7952496936552821,0.6336748815895562
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.6691156459658465,0.7237857085127126
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.5956963423073725,0.6353669865933957
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.751128329609811,0.5981632101517236
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.6237586012288466,0.546512638423541
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.37331529250825424,0.431576377029584
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.37495910527395615,0.4809368159471064
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.08710332702306361,0.23484189339829972
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.2251652835774424,0.4156686292798839
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.6895919091222821,0.7284101344509764
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.43197919313938987,0.5688624858615055
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.342816171552484,0.3922363292971477
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.4152920635760923,0.5145655358890924
WITCH 5.0,EN_INDCi2030_500f,0.08444362518755441,0.06157144471961892
WITCH 5.0,EN_NPi2020_400f,0.06618825612606423,0.031419132603438274
WITCH 5.0,EN_NPi2020_450,0.047651763156701644,0.020746290001497216
WITCH 5.0,EN_NPi2020_450f,0.0672418450155285,0.03692238764071921
WITCH 5.0,EN_NPi2020_500,0.0674914097977713,0.0278225238236489
WITCH 5.0,EN_NPi2020_500f,0.07142217469790252,0.045857554032768325
